"","nodes","edges","avg_degree","density","modularity","clustering","avg_path_len","lcc_rel_size","n_modules"
"IT",114,218,3.82456140350877,0.0338456761372458,0.725637992394086,0.484334468949854,3.35427251732102,0.56140350877193,15
"ST",80,1500,37.5,0.474683544303797,0.115107533354703,0.83370530687811,1.58921438082557,0.975,4
