genus,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,IT13,IT14,IT15,IT16,IT17,IT18,IT19,IT20,IT21,IT22,IT23,IT24,IT25,IT26,IT27
Rhodovulum,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09E-05,0,0,2.83E-05,0,0,0,0,0,0,0,0,2.84E-05,0
Unclassified Parvibaculaceae,0,0,0,0,0,0,0,3.81E-05,0,0,0,0,0,0,0,4.00E-05,0,0,0,0,0,0,0,0,0,0,0
Unclassified Thermomonosporaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00E-05,0,0,4.87E-05,0,0,0,0,0,0,0,0
Unclassified Ahrensiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.99E-05,0,0,0,0,0,0,0,0,0,0,0
Unclassified Sphingobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.99E-05,0,0,0,0,0,0,0,0,0,0,0
Oxynema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57E-05,0,0,0,0,0,0,0,4.45E-05,0,0,0,0
Unclassified Ardenticatenaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03E-05,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Chlorobiia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03E-05,0,0,0,0,0,0,0,0,0,0,0,0
Aeoliella,0,8.15E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Desulfuromonadia,0,0,0,0,0,5.52E-05,0,0,0,0,0,0,0,0,2.68E-05,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Vecturithrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25E-05
Ghiorsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25E-05
Thiohalocapsa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.32E-05,0,0,0,0,0,0,0,0,0,0,0,0
Pontibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Fibrobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Idiomarina,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Moritella,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Candidatus Persebacteraceae,0,0,0,0,0,0,0,3.81E-05,0,0,0,0,0,0,1.78E-05,0,0,0,0,0,0,0,0,0,0,2.84E-05,0
Merdimmobilis,0,0,0,0,0,0,0,0,5.46E-05,0,0,0,0,0,2.97E-05,0,0,0,0,0,0,0,0,0,0,0,0
Hydrogenophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.62E-05,0,0,0,0,0,0,0,0,0,0,0,0
Cupriavidus,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09E-05,6.54E-05,0,0,0,0,0,0,0,0,0,0,0,0
Phenylobacterium,0,0,0,0,0,0,0,0,0,0,5.11E-05,0,0,0,3.57E-05,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Fusobacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35E-05,5.94E-06,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Chloroherpetonaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76E-05,0,0,0,0,0,0,0,4.45E-05,0,0,0,0
Unclassified Myxococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57E-05,0,0,0,0,0,0,0,0,0,0,5.69E-05,0
Mesoflavibacter,0,0,0,0,0,0,0,0,2.73E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.58E-05,0,0,0
Leptospira,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09E-05,2.38E-05,0,0,0,4.87E-05,0,0,0,0,0,0,0,0
Unclassified Staphylococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,9.39E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09E-05,1.19E-05,0,0,0,0,0,0,4.93E-05,0,0,0,0,1.37E-05
Unclassified Immundisolibacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62E-05
Unclassified Pseudonocardiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62E-05
Unclassified Smithellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74E-05,0,0,0,0,0,0,0,0
Hahella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74E-05,0,0,0,0,0,0,0,0
Unclassified Bdellovibrionia,0,4.08E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69E-05,0
Proteus,0,0,0,0,0,0,3.51E-05,0,0,0,0,0,0,6.26E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Candidatus Competibacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16E-05,0,5.65E-05,0,0,0,0,0,0,0,0,0,0
Unclassified Kaistiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38E-05,0,0,0,0,0,7.49E-05,0,0,0,0,0,0
Unclassified Caulobacteraceae,0,0,0,0,0,5.52E-05,0,0,0,0,0,0,0,0,1.49E-05,5.00E-06,0,0,2.44E-05,0,0,0,0,0,0,0,0
Draconibacterium,0,4.08E-05,0,0,0,0,0,0,0,0,0,0,0,2.09E-05,0,5.00E-06,0,0,0,3.39E-05,0,0,0,0,0,0,0
Unclassified Calditrichota,0,0,0,0,0,0,0,0,0,0,0,3.08E-05,2.74E-05,1.04E-05,0,5.00E-06,0,0,0,0,0,2.82E-05,0,0,0,0,0
Amoebophilaceae bacterium (no genus in NCBI),0,0,2.82E-05,0,0,0,0,0,0,0,0,0,2.74E-05,0,4.76E-05,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Thermodesulfovibrionales,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104353,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Spartobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104353,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Balneolota,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104353,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Parachlamydiaceae,0,0,0,4.98E-05,0,0,0,0,0,0,0,0,0,0,0,5.50E-05,0,0,0,0,0,0,0,0,0,0,0
Listeria,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09E-05,0,0,0,0,0,0,0,8.46E-05,0,0,0,0,0
Unclassified Burkholderiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000107006,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Thermoguttaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86E-05,0,0,0,0,0,0,0,0,0,0,0,6.87E-05
Unclassified Candidatus Saccharibacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08E-05,6.00E-05,0,0,0,0,0,0,0,0,0,0,2.75E-05
Unclassified Candidatus Nomurabacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35E-05,5.50E-05,0,0,0,0,0,0,0,0,0,0,0
Candidatus Pelagibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49E-05,0,0,0,3.39E-05,0,0,0,0,0,0,0
Maritalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50E-05,0,0,0,0,7.49E-05,0,0,0,0,0,0
Halomicronema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109923,0,0,0,0,0,0,0,0,0,0,0
Haloferula,0,0,0,0,0,0.000110333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfobotulus,0,0,0,0,0,0.000110333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microscilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35E-05,0,0,0,0,0,0,0,0,0,0,5.69E-05,0
Aquamicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35E-05,0,3.00E-05,0,0,0,0,0,0,0,0,0,0,0
Poritiphilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011492,0,0,0,0,0,0,0,0,0,0,0
Candidatus Entotheonella,0,0,0,0,0,0,0,0,0,2.38E-05,0,3.08E-05,0,0,0,3.50E-05,0,0,0,0,0,0,0,0,0,2.84E-05,0
Companilactobacillus,0,0,0,0,7.42E-05,0,0,0,0,2.38E-05,0,0,0,2.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Aestuariibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000121812,0,0,0,0,0,0,0,0
Aureicoccus,0,0,0,0,0,0,0,0,0,0,2.56E-05,0,0,0,0,0,0,0,0,6.77E-05,0,0,0,0,2.89E-05,0,0
Stappia,0,0,0,2.49E-05,0,0,0,0,0,0,0,0,0,0,0,5.00E-05,0,0,0,0,0,4.93E-05,0,0,0,0,0
Unclassified Sirenicapillariaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000125223,0,0,0,0,0,0,0,0,0,0,0,0,0
Echinimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000125223,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaciobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000125223,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Desulfovibrionia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65E-05,0,0,0,0,1.41E-05,0,0,5.78E-05,0,0
Unclassified Oscillochloridaceae,0,0,0,0,0,0,0,3.81E-05,0,0,0,0,0,0,0,9.99E-06,0,8.35E-05,0,0,0,0,0,0,0,0,0
Hymenobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000133428,0,0,0,0
Unclassified Candidatus Parcubacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92E-05,4.50E-05,0,0,0,0,0,0,0,0,0,0,0
Methylomagnum,0,0,2.82E-05,0,0,0,0,0,0,0,0,0,0,0,0,9.99E-06,0,0,0,0,0,7.05E-06,8.90E-05,0,0,0,0
Unclassified Oscillatoriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94E-05,7.49E-05,0,0,0,0,0,0,0,0,0,0,0
Okeania,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000135658,0,0,0,0,0,0,0,0,0,0,0,0,0
Amylibacter,0,0,0,0,0,0,0,0,2.73E-05,0,0,0,0,3.13E-05,5.94E-06,6.50E-05,0,0,0,0,0,7.05E-06,0,0,0,0,0
Unclassified Maricaulales,0,0,0,0,0,0,0,0,0,0,0,0,0.000136949,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Oligoflexia,0,0,0,0,0,0,0,0,0,0,0,0,0.000136949,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrospinota bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50E-05,0,0,0,0,0,0,0,0,0,0,8.25E-05
Anaerophaga,0,0,0,0,0,2.76E-05,0,1.91E-05,0,0,0,0,0,0,2.97E-06,0,0,0,0,0,0,0,8.90E-05,0,0,0,0
Roseovarius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000124913,0,0,0,0,0,1.41E-05,0,0,0,0,0
Algihabitans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54E-05,2.00E-05,0,0,0,0,0,0,0,0,0,0,5.50E-05
Lacinutrix,0,0.00014263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Holophagae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142674,0,0,0,0,0,0,0,0,0,0,0,0
Cellvibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101564,0,0,0,0,0,2.84E-05,1.37E-05
Unclassified Gemmatimonadia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000144899,0,0,0,0,0,0,0,0,0,0,0
Propionigenium,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000146094,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizionia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000146174,0,0,0,0,0,0,0,0
Candidatus Parabeggiatoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000146174,0,0,0,0,0,0,0,0
Unclassified Candidatus Peribacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000146174,0,0,0,0,0,0,0,0
Unclassified Candidatus Sumerlaeia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000146174,0,0,0,0,0,0,0,0
Flavobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000146174,0,0,0,0,0,0,0,0
Lysobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50E-05,0,0,0,0,0,0,0,0,0,0.000113743,0
Unclassified Kangiellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000149751,0,0,0,0,0,0
Zunongwangia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000149751,0,0,0,0,0,0
Opitutales bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,2.73E-05,0,0,0.000123259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albidovulum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109923,0,0,0,0,0,4.23E-05,0,0,0,0,0
Burkholderia,0,0,0,0,0,0,0,0,0,0,0.000153343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptolyngbya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43E-05,7.99E-05,0,0,0,0,0,0,0,0,0,0,0
Unclassified Rhodothermia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00E-05,0,0,9.74E-05,0,0,0,0,0,0,0,2.75E-05
Unclassified Pasteurellales,0,0,0,0,0,0,0,5.72E-05,0,0,0,0,0,0,3.57E-05,0,0,0,0,0,0,7.05E-06,0,0,0,0,5.50E-05
Unclassified Hyellaceae,0,0,0,0,0,0,0,1.91E-05,2.73E-05,0,2.56E-05,0,0,0,0,0,0,8.35E-05,0,0,0,0,0,0,0,0,0
Simkania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000155666,0,0,0,0
Unclassified Deinococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000155666,0,0,0,0
Chromatiales bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0.000142599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37E-05
Hyphomicrobiaceae bacterium (no genus in NCBI),0,0,2.82E-05,0,0,0,0,0,0,0,0,0,0,0,2.08E-05,4.00E-05,0,0,0,6.77E-05,0,0,0,0,0,0,0
Unclassified Acidobacteriaceae,0,0,0,0,0,0,0,3.81E-05,0,0,0,0,0,2.09E-05,6.54E-05,0,0,0,0,0,0,0,0,3.29E-05,0,0,0
Sphingomonadales bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94E-06,0,0,0,0,0,0,6.34E-05,8.90E-05,0,0,0,0
Immundisolibacterales bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22E-05,0,0,0,0.000137468
Unclassified Parvularculaceae,0,0,0,0,0,0,3.51E-05,0,0,0,5.11E-05,0,0,0,0,0,0,4.18E-05,0,0,0,0,0,3.29E-05,0,0,0
Citrobacter,0,0,2.82E-05,0,0,0,0,0,0,0,0,6.16E-05,0,0,0,0,0,0,0,3.39E-05,3.74E-05,0,0,0,0,0,0
Microbulbifer,0,0,0,2.49E-05,0,2.76E-05,0,0,0,0,0,0,0,0,0,3.00E-05,0,0,2.44E-05,0,0,0,0,0,2.89E-05,0,2.75E-05
Cyanobacteriota bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0.000164339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shinella,0,0,0,0,0,0,0,0,0,0,0,0,0.000164339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treponema,0,0,0,0,0,0,0,0,0,0,0.000102229,0,0,6.26E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Thiosymbion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000164885,0,0,0,0,0,0,0,0,0,0,0
Antrihabitans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000164962
Unclassified Psychromonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000166964,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Spiroplasmataceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000166964,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleurocapsa,0,0,0.000169062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aestuariispira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000170536,0,0,0,0,0,0,0,0
Unclassified Candidatus Brocadiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000170536,0,0,0,0,0,0,0,0
Unclassified Kordiimonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000170614,0
Hyphobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09E-05,0.000121867,0,0,0,0,0,0,0,0,0,0,2.84E-05,0
Unclassified Chitinibacteraceae,0,0,0,0,0,5.52E-05,0,0,0,0,0,6.16E-05,0,0,0,0,5.65E-05,0,0,0,0,0,0,0,0,0,0
Acaryochloris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94E-06,0.000169881,0,0,0,0,0,0,0,0,0,0,0
Unclassified Candidatus Cloacimonadota,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04E-05,0,0,0,0,0,0,0,0,0.000133428,3.29E-05,0,0,0
Unclassified Crocinitomicaceae,0,0,0,0,0,0,0,0,2.73E-05,0,0.000127786,0,0,0,0,0,0,0,0,0,0,0,2.22E-05,0,0,0,0
Unclassified Eubacteriales Family XII. Incertae Sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000177399,0,0,0,0,0,0,0,0,0,0,0,0,0
Roseobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27E-05,0.000144899,0,0,0,0,0,0,0,0,0,0,0
Lyngbya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000177904,0,0,0,0
Unclassified Weeksellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000177904,0,0,0,0
Unclassified Geminicoccales,0,0,0,0,0,0,0,0,0,0,0,0,0.000109559,4.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,2.75E-05
Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000146094,0,0,0,0,0,3.39E-05,0,0,0,0,0,0,0
Leifsonia,0,0,0,0,0,0,0,0,0,0,0,3.08E-05,0,1.04E-05,1.49E-05,5.00E-05,0,0,2.44E-05,0,3.74E-05,0,0,0,0,0,1.37E-05
Paraburkholderia,0,0,0,0,0,0,0,3.81E-05,0,0,5.11E-05,0,0,0,0,0,0,0,0,0,0,7.05E-06,0,0,2.89E-05,5.69E-05,0
Spiroplasma,0,0,0.000112708,0,0,0,0,0,0,0,0,0,0,0,2.08E-05,0,0,0,4.87E-05,0,0,0,0,0,0,0,0
Unclassified Methylobacteriaceae,0,0,0,0,0,0,0,3.81E-05,0,0,0,0,0,0,3.57E-05,2.50E-05,0,0,0,3.39E-05,3.74E-05,0,0,0,0,0,1.37E-05
Pontivivens,0,0,0,0,0,0,0,3.81E-05,0,0,0,0,0,0,0,7.49E-05,0,0,4.87E-05,0,0,0,2.22E-05,0,0,0,0
Portibacter,0,0,0,0,0,0,0,0,0,0,0.0001789,0,0,0,0,0,0,0,0,0,0,7.05E-06,0,0,0,0,0
Cronobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000187835,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemmatimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011492,0,0,0,0,7.49E-05,0,0,0,0,0,0
Nioella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000189867,0,0,0,0,0,0,0,0,0,0,0
Unclassified Desulforegulaceae,0,0,0,0,0,5.52E-05,0,0,0,0,0,0,0,0.000104353,5.94E-06,0,0,0,2.44E-05,0,0,0,0,0,0,0,0
Candidatus Competibacteraceae bacterium (no genus in NCBI),0,0,0,0,0,5.52E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000135419,0,0,0,0,0,0,0
Halochromatium,0,2.04E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000172398,0,0,0,0,0,0,0,0,0,0,0,0
Brachyspira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35E-05,0,0,0,0,0,0,0,0,0.000109975
Sediminicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000194899,0,0,0,0,0,0,0,0
Unclassified Odoribacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000194899,0,0,0,0,0,0,0,0
Unclassified Candidatus Riflebacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000194899,0,0,0,0,0,0,0,0
Wocania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97E-06,0,0.00019783,0,0,0,0,0,0,0,0,0,0
Oceanobacter,0,2.04E-05,0,0,0,0,0,0,0,0,0,6.16E-05,0,0,0,0,5.65E-05,0,0,0,0,0,0,6.58E-05,0,0,0
Euhalothece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000204857,0,0,0,0,0,0,0,0,0,0,0
Unclassified Spirochaetaceae,0,0,0,0,0,0,0,3.81E-05,0,0,0,0,5.48E-05,4.17E-05,0,0,0,4.18E-05,0,0,0,0,0,0,2.89E-05,0,0
Caenibius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000206203
Cognatishimia,0,0,0,0,0,0,0,0,5.46E-05,4.75E-05,7.67E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89E-05,0,0
Unclassified Aurantimonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43E-05,9.49E-05,0,4.18E-05,0,0,0,0,0,0,0,0,0
Unclassified Pyrinomonadaceae,0,8.15E-05,0,0,0,0,0,0,0,0,0,0,0,0,5.65E-05,2.50E-05,0,0,4.87E-05,0,0,0,0,0,0,0,0
Sulfuriroseicoccus,0,0,0,0,0,0.000165499,0,0,0,4.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Victivallales,0,6.11E-05,0,0,0,0,0,1.91E-05,0,0,0.000102229,0,0,0,0,0,0,0,0,0,0,0,0,3.29E-05,0,0,0
Unclassified Sphingobacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000219261,0,0,0,0,0,0,0,0
Aureitalea,0,0,0,0,0,0.000220665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Neptunochlamydia,0,0,0,0,0,0.000220665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pareuzebyella,0,0,0,0,0,0.000220665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Polyangiaceae,0,0,0,0,0,0.000220665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Abditibacteriota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00022238,0,0,0,0
Unclassified Acanthopleuribacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000222928,0,0,0,0,0,0,0,0,0,0,0,0
Altibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000224627,0,0,0,0,0,0
Unclassified Pleurocapsales,0,0,0.000225416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychroserpens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03E-05,0,0,0,0.000146174,0,0,0,0,0,0,0,0
Unclassified Chlorobiota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24E-05,0,0,0.000167036,0,0,0,0,0,0,0,0,0
Unclassified Legionellales,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000229576,0,0,0,0,0,0,0,0,0,0,0,0,0
Fusobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000229576,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidota bacterium (no genus in NCBI),0,0,0,0,0,0,0,9.53E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000137468
Unclassified Geminicoccaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000136729,0,0,0,9.74E-05,0,0,0,0,0,0,0,0
Roseitalea,0,0,2.82E-05,0,7.42E-05,0,0,0.000133407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Nitrosomonadales,0,4.08E-05,0,0,0,0,7.02E-05,0,0,0,0,0,0,0,0,0,0,0,0,6.77E-05,0,0,0,0,5.78E-05,0,0
Unclassified Opitutales,0,2.04E-05,0,0,0,0,0,0,0,0,0,9.24E-05,0,0,0,3.00E-05,0,0,0,6.77E-05,0,0,0,0,0,2.84E-05,0
Poseidonibacter,0,0,0,0,3.71E-05,0,0,0,0,0,7.67E-05,0,0,0.000125223,0,0,0,0,0,0,0,0,0,0,0,0,0
Defluviicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92E-06,0,0,4.18E-05,2.44E-05,0,0,0,0,0,0,0,0.000164962
Vallitalea,0,0,0,0,0,5.52E-05,0,0,0,0,5.11E-05,6.16E-05,0,5.22E-05,0,2.00E-05,0,0,0,0,0,0,0,0,0,0,0
Candidatus Amoebophilus,0,0,0,0,0,0,7.02E-05,0,0,0,0,0,2.74E-05,0,0.000142674,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Myxococcia,0,0,0,0,0,0.000110333,0,0,0,0,0,0,0,0,5.05E-05,4.50E-05,0,0,0,0,0,3.52E-05,0,0,0,0,0
Unclassified Candidatus Hydrogenedentota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000243623,0,0,0,0,0,0,0,0
Unclassified Acanthopleuribacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000243735,0,0,0,0,0,0,0,0,0,0,0,0
