genus,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30
Chloroflexaceae bacterium (no genus in NCBI),1.57E-05,0,0,0,0,0,0,2.30E-05,0,0,0,0,0,0,0,5.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picosynechococcus,0,0,1.10E-05,4.69E-05,0,0,0,0,0,0,2.69E-05,0,0,0,0,0,0,0,6.12E-06,0,0,0,0,0,4.99E-06,0,0,0,0,0
Unclassified Parvularculaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08E-05,0,8.66E-05,0,0
Pelagibius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33E-05,0,0,0,8.17E-06,0,0,5.60E-05,0,0,0,0,0,0,0,0
Unclassified Pontiellaceae,5.24E-06,0,1.10E-05,2.35E-05,0,0,0,0,0,0,5.39E-05,0,0,0,0,0,0,0,4.08E-06,0,0,0,0,0,0,0,0,0,0,0
Phaeobacter,0,0,0,0,0,0,0,0,0,0,0,8.16E-05,1.72E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Lentisphaeria,5.24E-06,0,0,0,0,1.75E-05,0,0,0,0,0,0,0,0,0,5.61E-05,0,0,2.04E-06,0,0,1.87E-05,0,0,0,0,0,0,0,0
Parvularcula,0,0,1.10E-05,0,0,3.49E-05,0,0,0,0,5.39E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Calditrichota,0,0,0,9.39E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99E-06,0,0,0,0,0
Pyruvatibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01E-05,0,0,0,1.30E-05,4.08E-06,0,0,0,2.46E-05,1.32E-05,0,0,0,0,0,0
Thioalkalivibrio,0,0,0,4.69E-05,0,3.49E-05,0,0,0,0,0,0,0,0,0,0,0,1.62E-06,0,0,0,0,0,0,0,2.16E-05,0,0,0,0
Colwellia,3.14E-05,0,0,0,1.52E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69E-05,0,0,0,0,2.16E-05,0,0
Alteromonas,0,0,0,1.17E-05,0,3.49E-05,0,0,0,0,0,0,0,0,0,5.61E-05,0,0,0,2.65E-06,0,0,0,0,0,0,0,0,0,0
Unclassified Peptostreptococcales,0,0,0,0,0,5.24E-05,0,0,0,0,5.39E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Brucellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33E-05,0,0,0,2.04E-06,0,2.94E-05,1.87E-05,1.23E-05,0,0,1.08E-05,0,0,0,0
Unclassified Clostridiaceae,0,1.72E-05,0,0,0,3.49E-05,0,0,0,0,2.69E-05,0,0,0,0,2.81E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coraliomargarita,0,0,0,0,0,0,3.50E-05,0,0,0,0,0,0,0,0,0,0,0,5.72E-05,0,0,0,1.23E-05,3.29E-06,0,0,0,0,0,0
Nitratireductor,2.62E-06,0,0,4.69E-05,0,0,0,0,0,0,0,0,0,1.25E-05,0,0,0,0,0,2.65E-06,0,0,0,0,0,0,0,0,4.46E-05,0
Thiotrichales bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112293,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Draconibacterium,0,0,2.21E-05,2.35E-05,7.62E-06,0,3.50E-05,9.19E-06,0,0,0,0,0,6.26E-06,0,0,9.83E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Rhodothermales,5.24E-06,0,0,0,2.28E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04E-06,0,2.94E-05,0,0,0,0,1.08E-05,0,0,4.46E-05,0
Unclassified Cyanothecaceae,0,0,0,0,1.52E-05,0,0,1.84E-05,3.19E-05,0,0,0,0,1.25E-05,0,0,0,0,4.08E-06,0,0,0,0,1.32E-05,2.00E-05,0,0,0,0,0
Unclassified Desulfobulbia,0,1.72E-05,1.10E-05,0,0,3.49E-05,0,0,0,0,0,0,1.72E-05,0,0,0,0,4.86E-06,0,1.32E-06,2.94E-05,0,0,0,0,0,0,0,0,0
Candidatus Nephrothrix,0,0,0,0.000117368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfarculaceae bacterium (no genus in NCBI),6.81E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96E-05
Unclassified Nitrospinota,0,5.17E-05,0,0,0,0,0,0,0,0,0,1.17E-05,0,1.25E-05,0,0,0,0,8.17E-06,0,2.94E-05,0,0,0,4.99E-06,0,0,0,0,0
Unclassified Candidatus Cloacimonadaceae,0,0,1.10E-05,2.35E-05,0,0,0,0,0,0,0,0,0,0,0,8.42E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmonella enterica (no genus in NCBI),0,0,5.52E-06,0,0,0,0,9.19E-06,3.72E-05,0,0,0,0,0,0,0,0,3.24E-06,0,1.32E-05,0,0,0,3.29E-06,1.50E-05,3.24E-05,0,0,0,0
Marinicauda,0,0,0,2.35E-05,7.62E-06,0,3.50E-05,4.59E-06,1.06E-05,0,2.69E-05,0,0,0,0,0,9.83E-06,0,4.08E-06,0,0,0,0,0,0,0,0,0,0,0
Unclassified Pirellulaceae,0,0,0,0,0,0,0.000122493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Hapalosiphonaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.61E-05,0,0,0,0,2.94E-05,3.73E-05,0,0,0,0,0,0,0,0
Desulfurellaceae bacterium (no genus in NCBI),0,0,0,2.35E-05,0,0,0,0,0,0,0,0,0.000103148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceanobacter,0,0,0,0,0,0,0,0,0,0,0,0,3.44E-05,1.25E-05,0,0,0,1.62E-06,0,0,0,0,0,0,9.99E-06,0,0,0,4.46E-05,2.48E-05
Unclassified Phyllobacteriaceae,5.24E-06,0,0,0,0,0,1.75E-05,2.30E-06,0,0,2.69E-05,0,0,0,2.50E-05,0,0,0,4.08E-06,0,0,3.73E-05,0,0,0,1.08E-05,0,0,0,0
Spirochaetaceae bacterium (no genus in NCBI),0,0,0,0,1.52E-05,0,3.50E-05,0,0,0,0,1.17E-05,0,0,0,0,0,0,0,0,4.42E-05,0,0,0,0,0,0,0,0,2.48E-05
Unclassified Reichenbachiellaceae,5.24E-06,5.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47E-05,0,0,0,0,0,0,0,0
Unclassified Chitinophagales,0,0,1.10E-05,0,0,0,0,0,1.06E-05,0,0,0,0,2.51E-05,0,0,0,9.73E-06,8.17E-06,2.12E-05,0,0,1.23E-05,1.32E-05,0,2.16E-05,0,0,0,0
Unclassified Chitinophagaceae,0,0,1.10E-05,0,1.52E-05,0,1.75E-05,0,0,5.70E-05,0,0,0,0,0,0,0,0,4.08E-06,5.30E-06,1.47E-05,0,0,0,9.99E-06,0,0,0,0,0
Unclassified Tissierellales,0,0,0,0.000117368,0,0,1.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Desulfarculaceae,0.000125769,0,0,0,0,0,0,9.19E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcobacter,0,0,0,0,0,3.49E-05,0,0,0,0,5.39E-05,0,0,0,0,0,1.97E-05,0,0,0,2.94E-05,0,0,0,0,0,0,0,0,0
Oleispira,0,0,0,0,1.52E-05,0,0,4.59E-06,0,0,0,0,3.44E-05,0,0,0,4.91E-06,6.49E-06,1.22E-05,5.30E-06,0,0,1.23E-05,1.32E-05,3.00E-05,0,0,0,0,0
Caldilineaceae bacterium (no genus in NCBI),0,0,0,2.35E-05,0,5.24E-05,0,0,0,5.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,6.58E-06,0,0,0,0,0,0
Bacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112766,0,0,0,0,0,0,2.94E-05,0,0,0,0,0,0,0,0,0
Spongiibacter,2.62E-06,3.45E-05,0,0,0,3.49E-05,0,0,0,0,0,0,3.44E-05,0,0,2.81E-05,4.91E-06,0,2.04E-06,0,0,0,0,0,4.99E-06,0,0,0,0,0
Unclassified Moraxellaceae,0,3.45E-05,5.52E-06,0,0,0,0,6.89E-06,1.06E-05,0,0,1.17E-05,0,6.26E-06,0,0,0,1.62E-06,6.12E-06,7.94E-06,0,0,6.15E-06,2.96E-05,2.00E-05,0,0,0,0,0
Sinorhizobium,0,0,0,4.69E-05,7.62E-06,0,0,0,0,0,0,0,6.88E-05,0,2.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidimicrobiia bacterium (no genus in NCBI),7.86E-06,0,0,0,0,3.49E-05,0,4.59E-06,0,0,0,0,0,0,0,2.81E-05,0,0,0,0,0,3.73E-05,0,0,0,1.08E-05,0,0,0,2.48E-05
Unclassified Acidimicrobiaceae,0,0,0,7.04E-05,0,0,0,0,0,0,0,0,0,0,8.32E-06,0,0,0,0,0,2.94E-05,0,1.84E-05,0,9.99E-06,0,0,0,0,2.48E-05
Gallibacterium,0,0,0,0,4.57E-05,0,0,0,4.26E-05,0,0,0,0,1.25E-05,0,0,0,1.62E-05,1.63E-05,1.32E-06,0,0,0,1.97E-05,9.99E-06,0,0,0,0,0
Candidatus Aquarickettsia,0,0,0,2.35E-05,0,1.75E-05,0,0,1.06E-05,0,5.39E-05,0,0,0,0,5.61E-05,0,3.24E-06,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Ignavibacteriales,2.62E-06,0,2.21E-05,1.17E-05,0,0,3.50E-05,0,0,0,0,0,0,0,0,0,0,6.49E-06,0,1.59E-05,2.94E-05,0,0,0,0,0,0,0,4.46E-05,0
Unclassified Halomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016844,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parabacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016844,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorobium,0.000159832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23E-05,0,0,0,0,0,0,0
Chloroflexus,0,0,0,9.39E-05,0,0,0,0,0,0,0,0,0,0,8.32E-06,0,0,0,0,0,0,0,0,0,0,2.16E-05,0,0,0,4.96E-05
Cellvibrio,5.24E-06,3.45E-05,0,0,0,5.24E-05,0,0,0,0,0,2.33E-05,0,2.51E-05,0,0,4.91E-06,0,0,0,0,0,1.84E-05,0,9.99E-06,0,0,0,0,0
Legionella,0,0,0,2.35E-05,0,0,0,0,0,2.85E-05,0,0,0,6.26E-06,0,0,0,0,0,0,0,3.73E-05,0,0,1.50E-05,0,6.41E-05,0,0,0
Unclassified Neisseriales,0,0,1.10E-05,0,0,3.49E-05,0,5.05E-05,0,0,0,0,0,1.25E-05,0,0,0,2.92E-05,4.08E-06,1.06E-05,0,0,1.23E-05,0,9.99E-06,0,0,0,0,0
Brucellaceae bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,8.08E-05,0,0,0,4.99E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46E-05,0
Aliidongia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000175414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deltaproteobacteria bacterium (no genus in NCBI),2.88E-05,0,1.10E-05,1.17E-05,0,0,1.75E-05,0,0,0,2.69E-05,1.17E-05,1.72E-05,0,8.32E-06,0,0,1.62E-06,2.04E-06,1.32E-06,0,1.87E-05,0,0,2.00E-05,0,0,0,0,0
Psychrobacter,1.57E-05,0,0,0,0,0,3.50E-05,0,0,0,0,4.66E-05,0,0,6.66E-05,0,0,0,0,5.30E-06,0,0,0,0,9.99E-06,0,0,0,0,0
Unclassified Propionibacteriales,0,0,0,0,3.05E-05,3.49E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72E-05,2.94E-05,0,0,0,0,0,0,4.33E-05,0,2.48E-05
Unclassified Pirellulales,0,3.45E-05,0,0,0,0,3.50E-05,0,0,0,0,0,0,0,0,5.61E-05,0,3.24E-06,0,0,0,3.73E-05,1.23E-05,3.29E-06,0,0,0,0,0,0
Croceitalea,0,0,5.52E-06,0,0,0,0,1.15E-05,0,0,5.39E-05,0,0,0,0,0,0,9.73E-06,0,0,0,3.73E-05,0,0,0,2.16E-05,0,4.33E-05,0,0
Unclassified Saprospiria,0,0,0,2.35E-05,1.52E-05,3.49E-05,0,0,0,0,5.39E-05,0,0,0,0,2.81E-05,0,0,0,3.97E-06,0,0,0,0,0,0,0,0,0,2.48E-05
Pontimicrobium,5.24E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.61E-05,0,0,0,0,0,0,0,0,0,0,0.000128222,0,0,0
Rhodobacterales bacterium (no genus in NCBI),0,1.72E-05,0,0,0,0,7.00E-05,4.59E-06,0,0,0,0,0,0,3.33E-05,0,0,6.49E-06,6.12E-06,0,4.42E-05,0,0,0,9.99E-06,0,0,0,0,0
Unclassified Candidatus Pelagibacterales,0,0,0,0,0,6.99E-05,3.50E-05,0,0,0,0,0,5.16E-05,0,0,0,0,0,0,0,0,3.73E-05,0,0,0,0,0,0,0,0
Ralstonia,0,0,0,0,0,0,0.00017499,0,0,0,0,0,0,0,1.66E-05,0,4.91E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrospira,0,0,0,0,0,0,0,0,0,0,0,0,5.16E-05,0,3.33E-05,0.000112293,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Bacillales,0.000102188,0,0,1.17E-05,1.52E-05,1.75E-05,0,0,0,0,0,0,0,0,2.50E-05,0,0,0,2.04E-06,0,0,0,0,0,0,0,0,0,0,2.48E-05
Ideonella,0,0,0,0,0,0,0,4.59E-06,0,0,0.000107701,0,3.44E-05,2.51E-05,0,0,0,0,0,0,0,0,0,0,3.00E-05,0,0,0,0,0
Gilvibacter,2.62E-06,0,0,0,2.28E-05,0,0,0,1.06E-05,0,2.69E-05,0,0,0,2.50E-05,2.81E-05,0,3.24E-06,4.08E-06,0,0,3.73E-05,0,0,2.00E-05,0,0,2.16E-05,0,0
Alcanivorax,2.62E-05,3.45E-05,0,0,0,0,7.00E-05,0,0,0,0,0,0,0,1.66E-05,5.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerohalosphaera,0,0,0,0,0,0,0.00017499,0,0,0,0,0,0,0,0,0,2.95E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidales bacterium (no genus in NCBI),0,0,1.10E-05,0,0,3.49E-05,0,0,1.06E-05,0,5.39E-05,0,0,0,1.66E-05,2.81E-05,0,1.62E-06,0,0,0,3.73E-05,1.23E-05,0,0,0,0,0,0,0
Desulfotignum,0,0,0,2.35E-05,0,3.49E-05,0,0,5.32E-06,0,2.69E-05,0,0,1.88E-05,8.32E-06,0,0,4.86E-06,4.08E-06,7.94E-06,2.94E-05,1.87E-05,0,0,2.50E-05,0,0,0,0,0
Unclassified Candidatus Cloacimonadota,0,0,1.10E-05,0,0,1.75E-05,0,0,5.32E-06,5.70E-05,0,0,0,0,8.32E-06,0,0,0,0,0,0,3.73E-05,6.15E-06,0,0,4.32E-05,0,0,0,2.48E-05
Roseitalea,0,0,0,1.17E-05,0,0,0,9.19E-06,0,2.85E-05,5.39E-05,0,0,0,1.66E-05,0,0,0,0,0,0,5.60E-05,0,0,9.99E-06,0,0,0,0,2.48E-05
Rheinheimera,0,0,0,4.69E-05,0,6.99E-05,0,0,0,0,0,0,0,0,0,0,9.83E-06,0,0,7.94E-06,0,0,1.23E-05,0,0,2.16E-05,0,4.33E-05,0,0
Unclassified Sphingomonadales,0,0,0,4.69E-05,7.62E-06,0,0,4.59E-06,0,5.70E-05,0,0,0,0,1.66E-05,0,0,1.62E-06,0,2.65E-06,0,5.60E-05,0,0,9.99E-06,1.08E-05,0,0,0,0
Fusobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021618,0,0,0,0,0,0,0,0,0,0,0,0,0
Planctobacterium,0,0,0,0,0,0,7.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15E-05,0,0,0,0,0,8.91E-05,0
Unclassified Mycobacteriales,0,0.000103427,0,0,0,0,0,0,0,0,0.000107701,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99E-06,0,0,0,0,0
Corynebacterium,5.24E-06,3.45E-05,0,2.35E-05,5.33E-05,0,0,0,0,0,0,0,0,8.14E-05,0,0,0,0,0,2.65E-06,0,0,0,0,0,2.16E-05,0,0,0,0
Sneathiellales bacterium (no genus in NCBI),0,0,1.10E-05,2.35E-05,0,3.49E-05,0,0,1.06E-05,5.70E-05,0,0,0,1.25E-05,0,0,9.83E-06,0,0,0,0,0,0,0,2.00E-05,4.32E-05,0,0,0,0
Unclassified Erysipelotrichaceae,4.19E-05,0,1.10E-05,0,0,0.000104802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94E-05,3.73E-05,0,0,0,0,0,0,0,0
Unclassified Nannocystaceae,0,3.45E-05,0,0,0,0,0,0,0,0,0,2.33E-05,0,0,1.66E-05,0.000112293,9.83E-06,1.62E-06,1.63E-05,0,0,0,0,0,9.99E-06,0,0,0,0,0
Roseivirga,0,0,0,0,0,0,0,0,0,0,5.39E-05,0,3.44E-05,0,3.33E-05,0,0,0,2.04E-06,2.65E-06,0,0,9.84E-05,0,0,0,0,0,0,0
Xenorhabdus,5.24E-06,3.45E-05,0,0,0,0,0,0,0,0,0,6.99E-05,0,0,0.000108178,0,1.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Neisseriaceae,0,0,0,0,1.52E-05,0,0,2.99E-05,1.06E-05,0,0,2.33E-05,1.72E-05,0,0,0,0,2.92E-05,1.22E-05,2.38E-05,0,0,0,5.59E-05,0,0,0,0,2.23E-05,0
Phocaeicola,0,0,0,3.52E-05,0,0,0,0,0,0,5.39E-05,2.33E-05,0,0,0,2.81E-05,4.91E-06,0,2.04E-06,0,0,0,0,0,0,0,0,4.33E-05,0,4.96E-05
Unclassified Chlorobiota,0.00013101,0,0,0,0,0,0,0,0,0,0,0,6.88E-05,1.25E-05,0,0,0,0,0,0,0,0,3.69E-05,0,0,0,0,0,0,0
Neisseria,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000250592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesorhizobium,7.86E-06,0,3.31E-05,0,0,0,1.75E-05,0,0,0,2.69E-05,1.17E-05,0,0,8.32E-06,0,0,1.62E-06,8.17E-06,0,5.89E-05,0,1.23E-05,0,0,2.16E-05,0,0,4.46E-05,0
Leptolyngbyaceae cyanobacterium (no genus in NCBI),0,0,0,0,0,6.99E-05,0,0,0,0,0,0,3.44E-05,0,1.66E-05,5.61E-05,1.97E-05,0,0,2.65E-06,5.89E-05,0,0,0,0,0,0,0,0,0
Roseibium,1.83E-05,0,0,0,0,0,0,9.19E-06,0,0,0.000161551,0,0,1.25E-05,1.66E-05,0,0,6.49E-06,0,2.65E-06,1.47E-05,0,1.23E-05,0,9.99E-06,0,0,0,0,0
Unclassified Opitutia,0,3.45E-05,1.10E-05,0,0,0,5.25E-05,0,0,0,0,2.33E-05,0,2.51E-05,0,0,0,0,1.02E-05,3.97E-06,2.94E-05,0,0,0,9.99E-06,0,0,0,6.68E-05,0
Unclassified Anaerohalosphaeraceae,5.24E-06,0,0,0,0,0,0.000262486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herpetosiphonaceae bacterium (no genus in NCBI),0,0,0,0.000164315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.40E-05,0,0,0,4.96E-05
Unclassified Oscillochloridaceae,0,0,0,0.000269947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Candidatus Kaiserbacteria,2.62E-06,0,0,0,0,0,0,0.000107975,0,2.85E-05,0,0,0,0,0,0,0,0,0,0,8.83E-05,0,0,0,0,4.32E-05,0,0,0,0
Rickettsia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66E-05,0,0,0,4.08E-06,0,0.000250224,0,0,0,0,0,0,0,0,0
Puniceibacterium,7.86E-06,5.17E-05,1.10E-05,2.35E-05,0,0,0,0,0,2.85E-05,5.39E-05,1.17E-05,0,1.88E-05,8.32E-06,0,0,0,0,0,0,0,6.15E-06,3.29E-06,0,0,0,0,2.23E-05,2.48E-05
Bdellovibrionales bacterium (no genus in NCBI),2.62E-06,0,0,2.35E-05,7.62E-06,0,3.50E-05,0,0,0,0,0,3.44E-05,1.25E-05,1.66E-05,0,0,1.62E-06,0,2.65E-06,0,0,0,0,4.99E-05,0,0,0,8.91E-05,0
Oceanispirochaeta,0,3.45E-05,1.10E-05,4.69E-05,0,0,0,0,0,5.70E-05,0,2.33E-05,0,1.25E-05,0,0,2.95E-05,0,2.25E-05,0,0,0,1.23E-05,0,3.00E-05,0,0,0,0,0
Halomonas,1.05E-05,0,4.41E-05,2.35E-05,0,0,0,0,5.32E-06,0,0,0,0,6.26E-06,0,2.81E-05,4.91E-06,1.46E-05,0,7.94E-06,0,0,1.23E-05,0,0,1.08E-05,0,4.33E-05,2.23E-05,4.96E-05
Unclassified Burkholderiaceae,0,0,0,0,0,0,0,2.53E-05,0,5.70E-05,0,2.33E-05,0,6.26E-06,0,0,0,2.27E-05,4.49E-05,4.63E-05,2.94E-05,0,2.46E-05,0,4.99E-06,0,0,0,0,0
Methylobacter,0,0,1.10E-05,0,1.52E-05,0,0,1.84E-05,2.13E-05,0,0,1.17E-05,0,1.25E-05,0,0,0,1.95E-05,5.10E-05,3.18E-05,0,0,2.46E-05,2.63E-05,2.00E-05,2.16E-05,0,0,0,0
Unclassified Terriglobia,0,0,0,7.04E-05,0,0,3.50E-05,4.59E-06,1.06E-05,0,0,0,0,0,0,0,9.83E-06,3.24E-06,1.22E-05,0,0,7.47E-05,0,6.58E-06,9.99E-06,0,0,0,0,4.96E-05
Fusibacter,0,1.72E-05,5.52E-06,0,7.62E-06,0,0,0,5.32E-06,0,0,0,0,6.26E-06,0,5.61E-05,0,1.62E-06,0,0,0,1.87E-05,0,3.29E-06,9.99E-06,2.16E-05,0,0,0.000133687,0
Methyloceanibacter,0,0,5.52E-06,2.35E-05,0,0,1.75E-05,0,0,0,0,0,0,1.25E-05,4.99E-05,0,0,0,2.04E-06,0,0,3.73E-05,0,0,0,1.08E-05,0.000128222,0,0,0
Puteibacter,0,0,1.10E-05,0,3.05E-05,0,0,0,1.06E-05,0,0,0,0,8.77E-05,8.32E-05,0,0,0,2.04E-06,0,0,0,0,0,2.00E-05,0,0,0,4.46E-05,0
Unclassified Amoebophilaceae,0,0,0,0,0,0.000104802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016191,0,0,1.32E-05,9.99E-06,0,0,0,0,0
Pseudovibrio,1.05E-05,0,2.21E-05,0,0,0,0,4.36E-05,2.13E-05,0,0,0,0,1.25E-05,0,0,0,5.51E-05,5.92E-05,2.91E-05,0,0,0,1.97E-05,2.00E-05,0,0,0,0,0
Unclassified Candidatus Polarisedimenticolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000311936,0
Desulfobacteraceae bacterium (no genus in NCBI),7.86E-06,0,2.76E-05,0,1.52E-05,3.49E-05,1.75E-05,2.30E-06,0,0,2.69E-05,3.50E-05,0,1.25E-05,3.33E-05,0,4.91E-06,0,4.08E-06,3.97E-06,1.47E-05,1.87E-05,0,3.29E-06,9.99E-06,0,0,4.33E-05,0,0
Unclassified Azospirillaceae,5.24E-06,0,3.31E-05,0,0,0,0.000209988,4.59E-06,0,0,0,0,0,1.25E-05,2.50E-05,0,0,0,2.04E-06,0,0,1.87E-05,0,0,4.99E-06,0,0,0,0,0
Sedimentisphaera,5.24E-06,0,0,0,0,0,0.000314983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Moraxellales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00032382,0,0,0,0,0,0,0,0,0
Unclassified Planctomycetales,1.57E-05,0,0,0,0,0,7.00E-05,0,0,5.70E-05,0,0,0,0,0,5.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000133687,0
Flavobacterium,0,3.45E-05,0,0,0,3.49E-05,0,0,0,0,0,0,0,0,0,5.61E-05,0,0,8.17E-06,0,0.000176629,0,0,3.29E-06,2.00E-05,0,0,0,0,0
Zobellella,0,3.45E-05,2.21E-05,0,1.52E-05,0,0,2.76E-05,3.19E-05,0,0,2.33E-05,0,2.51E-05,0,0,0,6.49E-06,4.90E-05,2.65E-05,0,0,2.46E-05,6.58E-06,2.00E-05,2.16E-05,0,0,0,0
Breoghania,0,0,0,0.000164315,0,0,0,1.15E-05,1.06E-05,0,0,0,0,5.01E-05,0,0,0,0,0,0,0,0,0,2.30E-05,3.00E-05,0,0,0,0,4.96E-05
Portibacter,0,0,0,1.17E-05,1.52E-05,0,0,0,0,0,0,0,0,0,0,0,1.97E-05,1.62E-06,1.22E-05,2.65E-06,0,0.000261287,0,6.58E-06,0,1.08E-05,0,0,0,0
Azospirillum,2.62E-06,0,0,0,1.52E-05,0,0.000192489,0,0,0,5.39E-05,0,0,0,2.50E-05,0,0,0,4.08E-06,0,1.47E-05,3.73E-05,0,0,0,0,0,0,0,0
Xenococcaceae cyanobacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,2.33E-05,0,0,0,0.000224587,9.83E-06,0,2.04E-06,0,0,1.87E-05,0,0,9.99E-06,1.08E-05,0,0,0,4.96E-05
Sulfuriroseicoccus,0,5.17E-05,0,0,0,6.99E-05,0,0,0,0,0.000107701,0,3.44E-05,0,0,0,0,0,0,0,0,3.73E-05,0,0,4.99E-06,0,0,0,4.46E-05,0
Unclassified Planctomycetaceae,0,6.90E-05,0,2.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000176629,0,0,0,0,4.32E-05,0,0,4.46E-05,0
Woeseiaceae bacterium (no genus in NCBI),0,3.45E-05,1.10E-05,1.17E-05,0,6.99E-05,0,2.30E-06,0,2.85E-05,0,0,3.44E-05,0,1.66E-05,0,0,3.24E-06,0,0,0,0,0,6.58E-06,0,0,0.000128222,0,2.23E-05,0
Chloroflexota bacterium (no genus in NCBI),5.24E-06,0,0,0,7.62E-06,3.49E-05,0,2.30E-06,0,0,0,0.000209829,3.44E-05,1.88E-05,0,0,0,0,1.84E-05,7.94E-06,0,0,0,0,9.99E-06,0,0,2.16E-05,0,0
Aliivibrio,5.24E-06,3.45E-05,0,0,0,0,0,0,0,0,0,0.000128229,0,0,4.99E-05,0.000112293,0,0,0,5.30E-06,0,3.73E-05,0,0,0,0,0,0,0,0
