genus,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30
Parvibaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Spiroplasmataceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulfidibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achromatium,0,0,1.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24E-06,0,2.65E-06,0,0,0,0,0,0,0,0,0,0
Unclassified Acetobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,1.72E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halieaceae bacterium (no genus in NCBI),1.83E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xanthomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66E-05,0,0,0,2.04E-06,0,0,0,0,0,0,0,0,0,0,0
Kordia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87E-05,0,0,0,0,0,0,0,0
Unclassified Acidobacteriaceae,0,0,0,0,0,1.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32E-06,0,0,0,0,0,0,0,0,0,0
Dyella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66E-05,0,0,0,0,2.65E-06,0,0,0,0,0,0,0,0,0,0
Unclassified Woeseiales,0,0,0,0,0,0,0,4.59E-06,0,0,0,0,0,0,0,0,0,0,0,0,1.47E-05,0,0,0,0,0,0,0,0,0
Hyphomicrobiaceae bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04E-05,0,0,0,0,0,0,0,0,0,0,0
Rhodobacter,0,0,0,0,0,0,0,0,1.06E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99E-06,0,0,0,0,0
Desulfocarbo,2.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesobacterium,2.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Methylocystaceae,2.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Candidatus Brocadiales,2.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Chromatiaceae,1.05E-05,0,0,0,0,0,0,2.30E-06,0,0,0,0,0,0,8.32E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trichodesmium,0,0,0,0,0,0,0,4.59E-06,0,0,0,0,0,0,1.66E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyphomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23E-05,0,9.99E-06,0,0,0,0,0
Unclassified Pleioneaceae,0,0,0,0,0,0,0,0,0,0,0,2.33E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Chloroherpetonaceae,0,0,0,2.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquimarina,0,0,0,2.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Limnocylindrales bacterium (no genus in NCBI),5.24E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87E-05,0,0,0,0,0,0,0,0
Unclassified Nitrospirota,1.57E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.32E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceanospirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48E-05
Unclassified Candidatus Nomurabacteria,0,0,0,0,0,0,0,2.53E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candidate division (no genus in NCBI),2.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Methylobacteriaceae,0,0,0,0,0,0,0,0,0,0,2.69E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermoanaerobaculia bacterium (no genus in NCBI),1.05E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planctomycetaceae bacterium (no genus in NCBI),2.62E-06,1.72E-05,0,0,7.62E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labilibaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.83E-06,9.73E-06,8.17E-06,0,0,0,0,0,0,0,0,0,0,0
Poseidonibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aureicoccus,0,0,0,2.35E-05,0,0,0,2.30E-06,0,0,0,0,0,0,0,0,0,0,0,2.65E-06,0,0,0,0,0,0,0,0,0,0
Rhodophyticola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94E-05,0,0,0,0,0,0,0,0,0
Fulvivirga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94E-05,0,0,0,0,0,0,0,0,0
