"genus","B","Group","Class"
"Unclassified Desulfarculales",0.202915252154921,"IT","Intermediate"
"Candidatus Entotheonella",0.112537283391951,"IT","Intermediate"
"Aeromonas",0,"IT","Specialist"
"Anaplasma",0.181403569366694,"IT","Intermediate"
"Salmonella",0.161449608125197,"IT","Intermediate"
"Unclassified Shewanellaceae",0.226872865534308,"IT","Intermediate"
"Unclassified Sphingomonadales",0.289353131170365,"IT","Intermediate"
"Unclassified Pleioneaceae",0.474439538631428,"IT","Generalist"
"Unclassified Caldilineaceae",0.0181034311900164,"IT","Specialist"
"Virgibacillus",0.283588926170491,"IT","Intermediate"
"Croceitalea",0.261387096191913,"IT","Intermediate"
"Puteibacter",0.502035101418038,"IT","Generalist"
"Unclassified Salinisphaerales",0.242781921887058,"IT","Intermediate"
"Unclassified Syntrophobacteraceae",0.239152501123957,"IT","Intermediate"
"Unclassified Maricaulaceae",0.0751791721503065,"IT","Specialist"
"Eilatimonas",0.245461342177753,"IT","Intermediate"
"Zymobacter",0.235718511134976,"IT","Intermediate"
"Unclassified Sedimentisphaerales",0.240676178964072,"IT","Intermediate"
"Saccharicrinis",0.353955781414139,"IT","Intermediate"
"Unclassified Chitinophagaceae",0.405612396571957,"IT","Intermediate"
"Unclassified Hapalosiphonaceae",0.626760519781232,"IT","Generalist"
"Unclassified Desulfobulbales",0.142169536756751,"IT","Intermediate"
"Unclassified Thiotrichales",0.0686496196452953,"IT","Specialist"
"Pseudomonadales bacterium (no genus in NCBI)",0.307582030937091,"IT","Intermediate"
"Alteromonas",0.402708248315492,"IT","Intermediate"
"Unclassified Candidatus Falkowbacteria",0.0364943426500381,"IT","Specialist"
"Unclassified Blastocatellia",0.405019590153673,"IT","Intermediate"
"Desulfobacula",0.322921423232014,"IT","Intermediate"
"Unclassified Salinisphaeraceae",0.143470916177334,"IT","Intermediate"
"Maribacter",0.286524700723342,"IT","Intermediate"
"Unclassified Phycisphaeraceae",0.292159203339288,"IT","Intermediate"
"Mycobacteroides",0.368558399693443,"IT","Intermediate"
"Unclassified Propionibacteriales",0.343651756893739,"IT","Intermediate"
"Myxococcales bacterium (no genus in NCBI)",0.306807408225672,"IT","Intermediate"
"Geomonas",0.421314129493183,"IT","Intermediate"
"Pontimicrobium",0.320891488310216,"IT","Intermediate"
"Unclassified Planctomycetaceae",0.495893198071477,"IT","Generalist"
"Unclassified Phyllobacteriaceae",0.207506896834151,"IT","Intermediate"
"Rhodospirillaceae bacterium (no genus in NCBI)",0.263673742360536,"IT","Intermediate"
"Acanthopleuribacter",0.503289195026752,"IT","Generalist"
"Saprospiraceae bacterium (no genus in NCBI)",0.174793831795863,"IT","Intermediate"
"Desulfobacter",0.258034961749338,"IT","Intermediate"
"Unclassified Azospirillaceae",0.0786443169839752,"IT","Specialist"
"Unclassified Mycobacteriales",0.433308659919111,"IT","Intermediate"
"Unclassified Ignavibacteriaceae",0.523732002517308,"IT","Generalist"
"Unclassified Brucellaceae",0.0552223762546876,"IT","Specialist"
"Salinisphaera",0.148276780376451,"IT","Intermediate"
"Unclassified Lactobacillales",0.449630677917459,"IT","Intermediate"
"Bacterioplanoides",0.44168683000844,"IT","Intermediate"
"Unclassified Erythrobacteraceae",0.532449164432102,"IT","Generalist"
"Unclassified Dehalococcoidia",0.0405974208273041,"IT","Specialist"
"Unclassified Nitrospirota",0.0540618272607501,"IT","Specialist"
"Unclassified Moraxellales",0.161694961786507,"IT","Intermediate"
"Unclassified Nostocales",0.409326485215705,"IT","Intermediate"
"Rickettsia",0.158513522478823,"IT","Intermediate"
"Unclassified Nannocystaceae",0.753540329700029,"IT","Generalist"
"Unclassified Anaerolineae",0.140042025692892,"IT","Intermediate"
"Unclassified Eubacteriales",0.302349426983189,"IT","Intermediate"
"Phycisphaeraceae bacterium (no genus in NCBI)",0.285770402751849,"IT","Intermediate"
"Unclassified Acidimicrobiales",0.0617901779853323,"IT","Specialist"
"Pseudanabaenales cyanobacterium (no genus in NCBI)",0.347532086074448,"IT","Intermediate"
"Unclassified Halieaceae",0.335215844278319,"IT","Intermediate"
"Kordiimonas",0.205698462507814,"IT","Intermediate"
"Polaribacter",0.457298887891107,"IT","Intermediate"
"Unclassified Bacilli",0.397997838661309,"IT","Intermediate"
"Erythrobacter",0.45128933030997,"IT","Intermediate"
"Unclassified Rhodothermales",0.26761882754164,"IT","Intermediate"
"Microscillaceae bacterium (no genus in NCBI)",0.157479129382406,"IT","Intermediate"
"Unclassified Moraxellaceae",0.192729690595385,"IT","Intermediate"
"Aequorivita",0.77539586476048,"IT","Generalist"
"Spirochaetaceae bacterium (no genus in NCBI)",0.469160497410452,"IT","Generalist"
"Acidaminobacter",0.340117780455017,"IT","Intermediate"
"Candidatus Aquarickettsia",0.510943376277808,"IT","Generalist"
"Parabacteroides",0.288509783800289,"IT","Intermediate"
"Unclassified Epsilonproteobacteria",0.0812032994159751,"IT","Specialist"
"Mesorhizobium",0.294402488906266,"IT","Intermediate"
"Unclassified Opitutia",0.435751229964213,"IT","Intermediate"
"Neiella",0.565072990137949,"IT","Generalist"
"Roseibium",0.330082990303749,"IT","Intermediate"
"Unclassified Vibrionales",0.130848889061514,"IT","Intermediate"
"Unclassified Hyphomonadaceae",0.57177488847953,"IT","Generalist"
"Francisella",0.451681450438441,"IT","Intermediate"
"Unclassified Bacteriovoracales",0.617832485619958,"IT","Generalist"
"Clostridioides",0.286114693970862,"IT","Intermediate"
"Unclassified Amoebophilaceae",0.163506385334817,"IT","Intermediate"
"Roseivirga",0.566784773614135,"IT","Generalist"
"Shewanella",0.144953535916086,"IT","Intermediate"
"Pseudoalteromonas",0.30542797239178,"IT","Intermediate"
"Rhodobacterales bacterium (no genus in NCBI)",0.026614405624594,"IT","Specialist"
"Unclassified Sneathiellales",0.247591501966271,"IT","Intermediate"
"Ralstonia",0.37459539956976,"IT","Intermediate"
"Flavobacteriaceae bacterium (no genus in NCBI)",0.247616219931364,"IT","Intermediate"
"Unclassified Cyclobacteriaceae",0.390046623207664,"IT","Intermediate"
"Xenococcaceae cyanobacterium (no genus in NCBI)",0.633331565722147,"IT","Generalist"
"Aliarcobacter",0.332222878806543,"IT","Intermediate"
"Unclassified Ignavibacteria",0.64066979933395,"IT","Generalist"
"Shimia",0.501139399417671,"IT","Generalist"
"Unclassified Cytophagia",0.51026854823786,"IT","Generalist"
"Unclassified Actinomycetes",0.524557949146342,"IT","Generalist"
"Unclassified Candidatus Sumerlaeota",0.0802930664468851,"IT","Specialist"
"Unclassified Verrucomicrobiales",0.551450968831615,"IT","Generalist"
"Corynebacterium",0.596683715271236,"IT","Generalist"
"Clostridia bacterium (no genus in NCBI)",0.0336096039718763,"IT","Specialist"
"Thalassotalea",0.392270680631947,"IT","Intermediate"
"Azospirillum",0.102952035873873,"IT","Specialist"
"Fulvivirgaceae bacterium (no genus in NCBI)",0.239793071334272,"IT","Intermediate"
"Exilibacterium",0.38082401075996,"IT","Intermediate"
"Unclassified Chlamydiota",0.459179678454298,"IT","Intermediate"
"Unclassified Candidatus Neomarinimicrobiota",0.48976889353664,"IT","Generalist"
"Mesomycoplasma",0.473874067071262,"IT","Generalist"
"Chloroflexota bacterium (no genus in NCBI)",0.00528128665452337,"IT","Specialist"
"Unclassified Lentisphaerota",0.0261717968609444,"IT","Specialist"
"Unclassified Planctomycetales",0.792261999838489,"IT","Generalist"
"Unclassified Pirellulales",0.0350659977526478,"IT","Specialist"
"Unclassified Tissierellales",0.663984624545473,"IT","Generalist"
"Achromobacter",0.61219126688055,"IT","Generalist"
"Unclassified Saprospiria",0.0270874660811637,"IT","Specialist"
"Unclassified Acidimicrobiia",0.151601209834365,"IT","Intermediate"
"Ideonella",0.772461067822901,"IT","Generalist"
"Staphylococcus",0.400912522234869,"IT","Intermediate"
"Candidatus Thiodiazotropha",0.147241079433884,"IT","Intermediate"
"Streptomyces",0.357483791389375,"IT","Intermediate"
"Bacteroides",0.398051032592572,"IT","Intermediate"
"Unclassified Lentisphaeria",0.00490674040379295,"IT","Specialist"
"Unclassified Myxococcales",0.701787694823042,"IT","Generalist"
"Unclassified Cellvibrionales",0.672124923067216,"IT","Generalist"
"Unclassified Planctomycetia",0.641643811470091,"IT","Generalist"
"Unclassified Pseudanabaenales",0.532862810886948,"IT","Generalist"
"Unclassified Sedimenticolaceae",0.0709688322752492,"IT","Specialist"
"Roseospira",0.63882222576411,"IT","Generalist"
"Unclassified Hahellaceae",0.452030309913003,"IT","Intermediate"
"Silicimonas",0.0151708490994512,"IT","Specialist"
"Winogradskyella",0.516138347819953,"IT","Generalist"
"Prosthecochloris",0.0818609151873212,"IT","Specialist"
"Pseudodesulfovibrio",0.696912079695193,"IT","Generalist"
"Unclassified Bdellovibrionota",0.507935969083511,"IT","Generalist"
"Unclassified Marinilabiliaceae",0.445925844864115,"IT","Intermediate"
"Halodesulfovibrio",0.358935848634908,"IT","Intermediate"
"Unclassified Acidimicrobiaceae",0.017000004592146,"IT","Specialist"
"Unclassified Chloroflexales",0.343611760711492,"IT","Intermediate"
"Unclassified Desulfobacteria",0.0134897727522041,"IT","Specialist"
"Croceivirga",0.781895189206251,"IT","Generalist"
"Unclassified Campylobacterota",0.285255887277537,"IT","Intermediate"
"Unclassified Myxococcota",0.643877721492292,"IT","Generalist"
"Cellvibrionaceae bacterium (no genus in NCBI)",0.222837731008557,"IT","Intermediate"
"Minwuiales bacterium (no genus in NCBI)",0.0824876065787787,"IT","Specialist"
"Unclassified Microscillaceae",0.436298009585941,"IT","Intermediate"
"Unclassified Rhizobiaceae",0.764623918472061,"IT","Generalist"
"Oenococcus",0.695671960792566,"IT","Generalist"
"Pseudomonas",0.618458435954067,"IT","Generalist"
