"Group","nodes","edges","avg_degree","modularity","density","pos_edge_frac"
"IT-H",49,129,5.26530612244898,0.543356769424915,0.10969387755102,0.65891472868217
"ST-H",46,119,5.17391304347826,0.384753901560624,0.114975845410628,0.521008403361345
