".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Shannon","IT-C","IT-H",6,6,-0.571547606649409,0.567628499263336,0.567628499263336,"ns"
"Shannon","IT-C","ST-C",6,6,1.22474487139159,0.220671361919847,0.33100704287977,"ns"
"Shannon","IT-C","ST-H",6,6,1.95959179422654,0.0500435212487051,0.144896027059574,"ns"
"Shannon","IT-H","ST-C",6,6,1.796292478041,0.0724480135297871,0.144896027059574,"ns"
"Shannon","IT-H","ST-H",6,6,2.53113940087595,0.0113692653407269,0.0682155920443616,"ns"
"Shannon","ST-C","ST-H",6,6,0.734846922834953,0.462432726450477,0.554919271740572,"ns"
