"scheme","lo","hi","IT_generalist_pct","ST_generalist_pct","fisher_p","odds_ratio"
"q25_75",0.104436862627493,0.462594889276307,32.1,17.9,1.21537721787562e-05,0.462607318512929
"q20_80",0.0802930664468851,0.523311843816296,28,12.1,7.13271415140676e-08,0.355370018665651
"q10_90",0.0421391209215774,0.6500479930926,17.1,3,7.51459396191484e-11,0.151653880711829
