Sample,Group
IT-C1,IT-C
IT-C2,IT-C
IT-C3,IT-C
IT-C4,IT-C
IT-C5,IT-C
IT-C6,IT-C
IT-H1,IT-H
IT-H2,IT-H
IT-H3,IT-H
IT-H4,IT-H
IT-H5,IT-H
IT-H6,IT-H
ST-C1,ST-C
ST-C2,ST-C
ST-C3,ST-C
ST-C4,ST-C
ST-C5,ST-C
ST-C6,ST-C
ST-H1,ST-H
ST-H2,ST-H
ST-H3,ST-H
ST-H4,ST-H
ST-H5,ST-H
ST-H6,ST-H
