ko,IT1,IT10,IT11,IT12,IT13,IT14,IT15,IT16,IT17,IT18,IT19,IT-C1,IT-H1,IT2,IT21,IT22,IT23,IT24,IT25,IT26,IT27,IT28,IT29,IT-C2,IT-H2,IT3,IT-C3,IT-H3,IT-C4,IT-H4,IT5,IT-C5,IT-H5,IT6,IT-C6,IT-H6,IT7,IT8,IT9,ST1,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST-C1,ST-H1,ST2,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST-C2,ST-H2,ST3,ST30,ST-C3,ST-H3,ST4,ST-C4,ST-H4,ST5,ST-C5,ST-H5,ST6,ST-C6,ST-H6,ST7,ST8,ST9
K00001,0,3,2,0,0,8,3,5,0,1,0,0,2,2,0,14,288,61,5,0,1,0,7,0,6,5,0,2,0,4,5,20,0,2,16,0,4,5,17,21,7,46,0,17,0,0,56,21,0,4,9,8,14,2,29,10,6,49,136,99,175,0,2,0,2,30,68,535,3,35,7,6,8,4,21,0,0,0,2,0,0
K00002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
K00003,0,0,0,0,0,2,0,2,0,0,0,0,12,0,0,11,102,10,0,0,3,1,0,0,2,0,0,0,0,2,2,3,6,2,9,7,0,2,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,1,0,0,0,0,3,0,0,0,0,3,0,1,243,0,1,0,0,0,3,16,0,0,0,0,0,1
K00004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,12,0,0,0,0,0,0
K00005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,48,2,0,0,0,0,2,3,0,0,0,0,0,0
K00008,1,0,0,2,1,0,1,1,0,2,0,1,0,0,0,1,7,27,0,0,0,0,2,1,0,6,0,0,0,0,1,0,3,0,0,0,0,0,8,1,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13,6,0,0,2,0,1,0,0,0,0,0,0,0
K00009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
K00010,0,1,3,0,0,0,2,0,0,2,0,0,0,2,2,0,16,28,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,6,0,0,81,0,0,17,0,8,0,0,20,15,0,0,3,0,0,0,12,6,0,4,32,40,60,2,1,0,0,6,13,54,0,12,0,0,4,4,0,0,0,0,2,0,0
K00011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00012,0,2,0,2,1,1,3,16,4,0,9,0,3,2,0,6,118,26,1,9,7,2,0,0,0,24,0,0,4,6,5,31,15,2,19,0,1,1,0,1,5,0,0,0,0,2,16,1,0,1,2,3,0,0,3,1,1,72,13,4,14,2,7,0,30,0,2,584,0,1,7,0,0,3,22,0,2,2,0,0,1
K00013,5,1,1,0,0,2,1,1,3,1,0,0,6,0,3,18,99,16,0,0,2,1,1,0,1,0,0,0,0,0,10,3,4,2,16,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,78,0,1,0,1,0,0,4,0,0,361,4,0,2,4,0,2,15,0,0,3,0,0,0
K00014,0,2,3,0,0,4,4,0,0,0,3,0,4,1,0,6,91,17,2,0,0,0,0,0,0,2,0,0,0,6,5,14,0,0,20,6,4,0,0,20,4,28,0,20,2,6,56,31,2,0,2,9,8,2,20,12,2,52,83,70,121,0,1,11,12,24,55,290,6,37,1,15,10,4,22,2,0,3,1,0,0
K00015,0,5,1,4,0,0,10,2,2,1,2,1,0,1,3,11,145,31,1,1,14,0,2,2,0,1,4,0,1,0,0,7,0,2,6,3,0,0,11,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,33,0,2,109,0,0,0,0,1,0,2,0,0,0,0,0,0
K00016,0,0,4,1,4,8,0,0,0,2,0,0,3,0,0,0,14,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,22,0,21,0,5,89,29,0,2,6,4,21,0,17,24,1,5,102,98,162,0,2,2,4,20,54,11,0,33,0,4,15,0,8,0,0,0,0,0,2
K00018,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,2,0,0,0,0,0,0,2,0,0,217,0,0,0,0,0,0,0,0,0,15,0,0,0
K00019,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,55,22,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,66,0,0,0,0,0,1,6,0,2,11,0,0,0
K00020,0,1,0,1,3,2,0,3,4,0,1,0,2,0,0,10,103,49,1,0,7,0,0,0,2,11,0,0,0,0,0,3,5,0,0,2,0,0,0,34,7,18,0,12,0,2,59,25,0,0,1,16,11,0,19,11,0,2,78,57,63,2,0,1,10,20,32,140,2,16,6,2,15,7,8,0,0,0,0,0,0
K00021,0,6,3,2,0,0,2,0,0,1,1,0,0,2,0,2,17,0,0,0,2,2,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,32,6,19,0,27,0,4,64,35,0,4,8,16,9,0,8,17,4,7,120,64,129,0,6,0,0,36,33,63,0,33,0,5,18,3,4,0,0,0,0,0,0
K00023,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,1,67,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
K00024,0,2,0,0,4,3,0,4,1,2,0,0,0,0,0,8,79,15,1,1,14,2,1,0,0,0,0,0,0,0,1,9,0,4,20,0,2,2,7,10,4,28,0,21,4,2,72,36,0,2,12,7,10,4,15,18,8,56,124,91,153,2,4,0,20,25,51,285,4,22,4,0,24,2,21,0,0,4,0,0,0
K00027,2,2,3,6,2,3,8,2,4,0,2,0,0,0,0,5,15,0,0,0,0,2,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,18,24,12,25,0,24,0,4,111,59,2,2,23,18,26,3,27,24,8,2,156,114,201,3,2,0,2,38,102,83,0,59,8,8,14,13,20,0,0,2,0,0,0
K00029,1,6,0,1,1,7,0,4,0,4,2,0,0,5,2,6,177,47,2,0,22,0,3,0,0,4,4,0,10,0,2,9,3,0,25,10,3,0,8,4,1,2,3,1,6,2,2,2,0,1,4,0,0,0,3,5,0,4,1,4,2,4,2,0,12,4,0,369,4,6,10,34,2,2,29,0,0,17,1,0,0
K00030,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
K00031,6,20,6,2,4,19,2,6,0,3,2,1,8,0,1,41,149,30,10,0,15,3,3,3,2,8,0,2,2,0,10,30,0,6,2,20,1,7,6,36,14,46,2,47,3,18,164,77,4,0,6,30,23,5,47,26,10,72,195,223,244,2,4,2,12,40,96,525,5,54,3,2,23,6,76,2,0,8,2,0,4
K00033,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,26,18,6,0,0,2,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,4,0,73,2,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,6,0,0,2,0,0,2
K00034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00036,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,67,14,0,0,0,0,2,0,12,7,0,0,0,0,2,1,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,72,0,1,0,0,2,0,0,0,0,97,0,0,0,0,0,0,8,0,0,0,0,0,0
K00038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,25,0,0,2,0,0,0,0,0,0,0,0,0,0
K00039,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,2,1,0,0,0,0,2,0,1,5,0,0,9,10,3,0,2,0,0,0,3,0,0,0,0,0,0,1,6,0,0,0,0,0,0
K00041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,2,0,0,0,2,0,0,1,0,0,0
K00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,87,4,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,4,3,1,0,0,2,0,2,7,0,0,0,0,0,0,0,0,1,0,2,17,7,20,0,0,0,0,0,3,0,0,3,0,0,0,0,2,0,0,0,0,0,0
K00043,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2
K00045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0
K00046,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,130,0,4,0,9,1,0,1,8,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,32,0,2,0,0,0,0,21,0,0,68,0,0,0,0,0,0,2,0,0,0,0,0,0
K00050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00052,3,3,2,0,1,0,0,0,1,0,2,0,0,0,1,24,272,11,2,0,0,0,2,1,0,7,0,0,2,2,9,15,0,0,3,3,0,0,5,3,1,1,2,0,0,0,3,0,0,2,0,4,8,0,0,1,0,62,0,0,0,0,0,0,10,0,0,294,0,0,3,0,0,4,18,0,0,14,0,2,0
K00053,2,3,0,2,0,6,3,0,0,6,0,0,3,5,7,16,85,12,0,6,12,1,4,0,0,15,0,0,0,2,4,18,0,0,22,4,0,0,33,3,1,2,4,0,0,0,2,0,0,0,1,11,2,0,0,0,0,57,0,0,0,2,2,1,17,1,0,333,19,2,0,4,0,4,30,0,0,14,0,0,0
K00054,1,6,0,0,1,2,1,9,2,0,6,0,0,1,3,1,2,0,1,8,19,6,0,0,0,1,0,0,0,1,7,5,18,2,12,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,82,0,0,0,0,0,0,3,0,0,21,0,0,0
K00057,0,0,0,5,0,2,2,0,1,2,3,0,1,5,0,18,14,17,2,2,2,0,0,0,0,1,0,0,0,5,2,4,0,0,20,0,2,0,0,509,4,19,0,22,4,3,70,31,0,0,12,17,13,2,40,34,1,27,104,96,115,6,4,13,3,42,69,262,4,32,0,15,16,2,8,2,2,10,0,0,0
K00058,1,4,3,4,8,6,0,3,1,0,4,0,0,0,2,31,284,36,0,0,17,1,0,2,8,12,0,5,7,2,18,30,7,7,26,0,1,0,8,37,10,35,4,20,2,8,79,53,2,2,10,8,23,1,22,24,9,70,136,124,145,0,0,1,20,25,65,559,2,37,2,25,17,10,59,0,0,26,0,0,0
K00059,16,32,4,5,5,4,2,7,5,0,2,0,2,4,2,23,549,138,5,3,27,10,5,0,3,15,0,4,0,2,20,42,15,4,58,11,5,4,76,40,8,64,9,52,8,9,153,50,0,1,20,50,47,0,41,32,4,51,245,185,261,5,7,2,48,59,98,1034,10,67,4,2,28,19,84,2,4,12,2,0,2
K00060,0,2,0,0,2,3,0,0,0,6,0,0,0,2,0,17,21,16,0,0,8,0,2,0,1,2,0,0,0,3,0,6,4,0,0,0,4,0,1,18,6,33,4,18,2,3,51,54,0,2,2,13,10,2,29,13,4,54,116,88,115,0,1,1,0,32,41,150,0,35,4,0,14,1,15,0,0,0,0,0,0
K00061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
K00064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,14,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00065,0,0,0,0,0,6,1,7,1,0,0,0,0,0,0,4,67,15,3,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,11,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,0,0,222,0,0,6,0,0,0,0,0,0,0,0,0,0
K00066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
K00067,0,3,2,1,4,0,2,2,2,1,0,0,0,0,0,0,69,11,5,0,8,2,0,0,0,1,0,0,0,0,0,10,0,1,2,0,0,0,0,24,18,26,0,21,0,8,76,29,0,0,9,12,19,0,25,19,6,66,134,92,190,0,6,0,4,25,69,241,2,39,4,0,16,0,12,0,0,12,1,0,2
K00068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00074,0,2,1,0,0,8,0,0,0,0,0,0,0,0,1,6,138,34,0,0,6,0,8,1,0,16,0,0,8,0,4,23,0,0,4,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,2,0,0,2,0,0,301,4,0,0,0,0,0,35,0,0,24,0,0,0
K00075,1,10,0,0,2,0,3,0,2,2,2,0,0,6,0,16,147,11,3,0,3,0,1,0,0,0,0,11,1,4,2,2,0,4,6,8,0,8,6,12,8,23,0,26,2,7,86,35,0,0,10,9,14,0,28,22,2,65,115,92,126,0,2,0,13,37,57,237,2,22,3,2,18,0,19,0,0,3,4,0,0
K00076,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
K00077,2,0,4,6,0,0,0,0,0,0,0,0,0,0,0,17,65,22,2,1,0,2,0,0,0,4,0,2,0,0,0,2,0,0,31,0,0,0,0,5,8,27,0,22,0,2,90,39,0,0,2,2,12,2,30,15,4,9,107,86,155,1,1,0,0,46,46,265,4,31,0,0,15,2,5,2,0,0,0,0,0
K00078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,8,0,0,0,2,0,0,0,0,0,0
K00079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
K00086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
K00087,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,1,0,0,3,0,0,0
K00088,0,2,4,0,0,0,6,5,0,0,1,1,2,1,0,17,164,18,1,2,5,3,7,0,1,2,0,0,2,2,1,12,7,0,10,0,1,0,10,36,6,37,0,18,2,2,93,52,2,2,16,6,25,2,25,26,10,73,145,132,203,0,2,0,13,46,70,426,6,47,20,8,23,5,17,0,14,12,0,0,0
K00091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,131,23,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,2,0,0,175,6,0,0,0,0,0,8,0,0,0,0,0,0
K00096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
K00097,0,2,0,0,0,1,1,0,0,0,0,0,6,0,0,20,14,9,0,0,5,0,0,0,0,15,0,0,0,0,4,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,71,2,2,0,0,0,0,10,0,0,295,0,0,0,0,0,0,5,0,2,0,0,0,0
K00098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00099,1,0,0,0,0,0,2,1,2,0,0,0,4,0,0,8,82,9,2,0,0,0,4,0,0,3,0,0,0,0,13,6,0,0,22,8,0,1,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,1,0,2,17,0,0,293,4,0,10,0,0,0,7,0,0,0,0,0,0
K00100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
K00101,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,84,24,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,10,1,0,157,2,0,4,3,0,4,15,0,0,20,0,0,0
K00102,275,329,15,139,4,11,78,446,127,382,142,10,21,140,116,259,263,846,73,35,286,114,22,142,136,638,462,3,21,433,117,64,63,46,34,21,19,141,461,692,12,22,515,88,47,0,19,12,265,82,56,203,17,514,6,469,92,26,469,410,24,843,331,283,169,12,87,217,67,17,21,14,175,100,213,12,219,84,660,883,250
K00103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,2,0,0,16,4,0,0,0,4,0,0,5,0,2,0,0,15,18,0,2,0,0,5,18,0,0,12,0,0,9,0,0,0,1,0,0,0,0
K00104,0,0,6,0,1,2,0,0,0,0,0,0,0,1,0,12,29,23,0,0,5,1,0,1,0,0,0,0,2,0,1,15,0,0,8,0,0,0,24,21,0,0,0,2,0,0,4,0,0,2,12,10,0,0,1,9,0,0,18,4,22,0,0,0,5,0,11,630,2,6,8,0,0,3,43,0,0,3,0,0,0
K00108,2,3,1,2,0,1,0,5,4,4,10,0,4,5,2,0,136,38,1,0,15,4,0,0,2,4,2,0,8,2,8,12,0,6,0,0,6,3,16,36,17,62,3,27,0,9,138,52,4,1,18,25,19,2,31,32,7,5,141,142,224,2,1,2,0,39,83,22,6,51,0,9,17,8,21,0,0,0,1,2,0
K00109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,47,0,0,2,0,0,0,1,0,0,0,0,0,0
K00111,4,6,2,1,0,12,7,3,0,4,3,0,4,5,3,23,134,21,6,2,2,3,2,0,0,6,0,3,2,2,7,19,8,2,37,16,3,6,13,58,18,88,8,54,6,18,228,109,3,8,52,41,45,6,45,48,8,10,356,274,368,0,6,4,19,79,174,561,11,97,4,2,36,36,51,0,0,8,2,0,2
K00112,0,2,0,2,2,0,0,0,0,0,3,0,0,4,0,16,0,0,0,0,0,2,0,0,0,2,0,0,0,1,2,16,0,1,6,4,0,0,4,25,14,41,0,28,0,0,99,37,0,0,7,19,16,0,32,30,2,9,144,146,201,0,2,0,2,39,62,128,0,55,2,10,22,1,11,0,0,0,0,0,2
K00113,0,0,2,7,0,0,0,0,2,5,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,36,12,32,4,25,0,0,83,36,0,0,11,8,8,0,40,18,0,10,109,125,140,0,2,0,4,33,73,13,0,28,6,2,16,0,4,0,0,0,0,0,0
K00114,1,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,6,0,0,0,0,0,0
K00116,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,10,0,0,0,0,0,0,0,0,0,0
K00117,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,57,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00121,5,2,1,0,0,0,0,0,0,0,0,0,2,0,1,9,92,23,0,0,1,2,2,0,0,4,0,0,8,0,3,1,0,0,4,2,0,0,6,2,0,34,0,15,0,1,58,43,0,0,1,8,0,2,27,0,0,0,112,85,150,5,1,0,0,38,66,158,0,44,0,1,25,7,4,0,0,0,0,0,0
K00122,0,6,0,0,0,2,0,1,0,0,0,0,0,4,0,0,35,43,0,0,5,0,0,0,0,1,0,0,0,0,5,0,2,0,0,0,0,2,6,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,1,0,0,0,0,0
K00123,14,1,0,4,0,4,2,7,3,3,2,0,6,15,2,70,237,23,3,0,20,5,4,0,0,9,0,0,0,9,4,58,2,5,68,19,6,0,23,51,16,80,6,54,3,18,181,138,1,7,30,21,49,0,62,41,10,11,295,247,335,4,8,0,71,88,158,891,15,85,17,26,26,24,76,2,0,46,6,0,2
K00124,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,1,214,4,0,0,1,0,0,0,0,0,0,0,2,0,2,2,0,0,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,17,0,1,120,1,0,6,0,0,0,2,0,0,0,0,0,0
