ko,IT1,IT10,IT11,IT12,IT13,IT14,IT15,IT16,IT17,IT18,IT19,IT-C1,IT-H1,IT2,IT21,IT22,IT23,IT24,IT25,IT26,IT27,IT28,IT29,IT-C2,IT-H2,IT3,IT-C3,IT-H3,IT-C4,IT-H4,IT5,IT-C5,IT-H5,IT6,IT-C6,IT-H6,IT7,IT8,IT9,ST1,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST-C1,ST-H1,ST2,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST-C2,ST-H2,ST3,ST30,ST-C3,ST-H3,ST4,ST-C4,ST-H4,ST5,ST-C5,ST-H5,ST6,ST-C6,ST-H6,ST7,ST8,ST9
K12370,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,81,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
K12371,0,0,1,0,0,0,0,3,2,4,0,0,2,1,0,8,63,1,4,0,3,0,1,0,0,1,0,0,2,0,2,1,3,2,0,0,0,0,3,16,12,27,6,2,4,8,8,14,0,2,5,2,2,0,6,7,2,4,22,15,24,1,0,0,0,10,0,0,2,6,4,4,6,7,5,0,0,0,2,0,0
K12372,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,74,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,2,0,0,0,0,0,2,5,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
K12373,0,0,0,2,0,6,0,0,0,1,0,0,0,8,2,105,1,21,0,0,6,0,0,4,0,9,0,0,0,0,0,49,0,0,8,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,294,4,0,4,0,2,0,19,0,0,1040,2,0,7,0,0,0,15,1,0,22,0,0,2
K12375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K12376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K12381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
K12405,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,17,0,4,0,0,4,0,30,0,15,2,0,76,39,0,0,1,4,9,1,16,9,2,0,99,81,116,0,0,0,18,19,49,79,0,30,2,0,11,1,4,0,0,0,1,0,2
K12410,0,1,0,4,0,0,0,0,0,2,0,0,4,0,4,3,78,0,2,0,0,0,0,0,0,2,0,1,0,0,3,3,0,0,18,2,0,0,0,13,7,12,1,8,0,3,44,19,0,0,4,11,8,0,26,11,2,43,44,77,88,0,2,0,9,19,48,281,4,24,0,6,22,2,4,0,0,38,0,0,0
K12417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
