genus,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,IT13,IT14,IT15,IT16,IT17,IT18,IT19,IT20,IT21,IT22,IT23,IT24,IT25,IT26,IT27,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30
Unclassified Candidatus Poribacteria,0.001113367,0.000448266,0.000563539,0.000573123,0.000927885,0.000661996,0.001334035,0.000457396,0.000600289,0.000594163,0.000204457,0.001140145,0.001040811,0.000427845,0.000169426,0.000169881,0.001102193,0.00187915,0.000828319,0.000744803,0.001534948,0.000288968,0.000667141,0.000888041,0.000808711,0.000597151,0.052375454,0,0.000206854,0,2.35E-05,0,0.000139736,0.000139992,0,0,5.70E-05,8.08E-05,2.33E-05,0.000103148,0,1.66E-05,5.61E-05,7.37E-05,0,6.12E-06,0,8.83E-05,5.60E-05,0,0,0,0,6.41E-05,0,2.23E-05,0
Unclassified Desulfobulbaceae,0.00209575,0.001833816,0.003493942,0.00264135,0.003377501,0.002841066,0.004809549,0.001905815,0.002373871,0.002447951,0.001507872,0.003851843,0.004245412,0.001492241,0.000416133,0.00049965,0.004408772,0.003340711,0.001973348,0.002640666,0.004754595,0.001036058,0.002312756,0.003486383,0.003437022,0.002872011,0.001498405,1.57E-05,3.45E-05,1.10E-05,2.35E-05,0,3.49E-05,0,0,0,0,0.000134626,0,3.44E-05,1.25E-05,0,0.00151596,3.93E-05,0,6.12E-06,1.06E-05,0,0,0,0,2.00E-05,0,0,0,4.46E-05,0
Candidatus Poribacteria bacterium (no genus in NCBI),0.000130984,0.00014263,0.000338123,2.49E-05,0.000111346,0.000220665,0.000386168,0,5.46E-05,0.000427797,0.000102229,9.24E-05,0,0.000229576,3.27E-05,7.49E-05,0.000113045,0.000334071,0,6.77E-05,0.000262064,2.82E-05,8.90E-05,0,0.000259943,0.000170614,0.074205433,0,3.45E-05,0,8.22E-05,2.28E-05,3.49E-05,0,0,3.19E-05,0,0,0,0.000103148,1.25E-05,3.33E-05,0,0,0,0,5.30E-06,0.000412134,3.73E-05,0,3.29E-06,0,1.08E-05,0,0,0,0
Ruegeria,0.004224245,0.002608093,0.00101437,0.001594777,0.001521731,0.00976444,0.001614885,0.000952907,0.001691724,0.001117026,0.001891229,0.012202638,0.002054232,0.001575723,0.000428022,0.001104227,0.001752204,0.002839604,0.00126684,0.001388043,0.001198008,0.000465169,0.001556663,0.002006315,0.001184184,0.012426422,0.000714836,7.86E-06,0.000413708,0.000110342,0.000316894,6.85E-05,0.000279471,0.000349981,6.43E-05,7.98E-05,0.000370698,0.000269251,0.000198172,0.000275061,0.000150355,5.82E-05,0.00075798,3.93E-05,6.97E-05,4.49E-05,7.02E-05,0.000397415,0.000690543,7.38E-05,4.27E-05,0.00014984,7.56E-05,0.000192332,0.000151502,0.000356498,0.00044685
Allomuricauda,0.00242321,0.034210848,0.000422654,0.000847225,0.000556731,0.002427318,0.001228717,0.000743268,0.001173293,0.002020154,0.001405643,0.007487982,0.001040811,0.000918302,0.001394045,0.004267013,0.001215239,0.003131916,0.001534826,0.00108335,0.001160571,0.000401737,0.00135652,0.00082226,0.000635416,0.002815139,0.000343671,5.24E-06,8.62E-05,6.62E-05,0.00025821,7.62E-05,0.000296938,0.000297484,4.59E-06,2.13E-05,5.70E-05,0.000215401,4.66E-05,0.000154722,3.76E-05,2.50E-05,0.000224587,3.44E-05,2.92E-05,1.43E-05,2.91E-05,0.000206067,0.00011198,1.23E-05,0,5.99E-05,5.40E-05,0.000128222,6.49E-05,0.00020053,4.96E-05
Unclassified Roseobacteraceae,0.001309843,0.001405925,0.001155255,0.001221001,0.001039231,0.002730733,0.000912761,0.001581826,0.001418865,0.00109326,0.001533429,0.00234192,0.001561216,0.000699162,0.000511249,0.002513241,0.001808727,0.002129703,0.000877043,0.000947931,0.001272884,0.000528601,0.00102295,0.00164452,0.001617422,0.002530782,0.001168481,0.0002725,0.002275391,0.000413782,0.002875519,0.000198029,0.005694224,0.002274875,0.000170004,0.000351157,0.002395278,0.003042542,0.000932575,0.001615981,0.00045733,0.001148354,0.00185284,0.000437273,0.000225397,0.000265389,0.000181356,0.0019282,0.003825983,0.000258182,0.000144689,0.000344631,0.000831318,0.002884985,0.001428448,0.002027584,0.002010824
Unclassified Planctomycetota,0.002030257,0.001752313,0.001493378,0.000971817,0.002004231,0.002565234,0.002527646,0.002630024,0.002401157,0.001140793,0.0019679,0.001571552,0.001287319,0.001387889,0.0030883,0.00192865,0.0012435,0.006263833,0.003337637,0.002674521,0.002732956,0.00116997,0.00373599,0.002203657,0.00193513,0.002644525,0.000893544,0.0002725,0.000861891,0.000430333,0.000575104,0.000571237,0.000681211,0.004952228,0.000119462,0.000420325,0.000969517,0.002611739,0.000617831,0.000911138,0.000582626,0.000332856,0.000477247,0.001523087,0.000369716,7.96E-05,0.000258135,0.004724827,0.00061589,0.000288918,6.25E-05,0.000519444,0.000226723,0.000512886,0.000909012,0.000891246,0.000223425
Sansalvadorimonas,0.000327461,0.001079914,0.000901662,0.000747552,0.001150577,0.00209632,0.001544673,0.00051457,0.00079129,0.000879361,0.001354529,0.000831998,0.000766913,0.000135658,5.05E-05,2.00E-05,0.001215239,0.000208794,0.000121812,0.000541675,0.000748755,0.000218488,0.000756093,0.001184055,0.001386362,0.000483408,0.000178709,0.00120529,0.00315452,0.003277151,0.000222999,0.003876796,0.000471607,0.00236237,0.003588454,0.003905294,0.000256637,0.000726979,0.00517579,0.000464165,0.002956986,0.003370169,0.004098706,0.000741891,0.003930662,0.003921633,0.004131482,0.000132472,0.000989157,0.003921906,0.003817811,0.003601147,0.003249698,0.000384665,0.000151502,2.23E-05,0.000322725
Unclassified Chloroflexota,0.002030257,0.002180203,0.001972387,0.001470185,0.002969231,0.003944392,0.00249254,0.00266814,0.001855439,0.001806255,0.0025046,0.002033773,0.002026842,0.001074831,0.011128582,0.00162886,0.001780466,0.003967094,0.003654347,0.00223441,0.003107334,0.001014914,0.002779754,0.005229575,0.00193513,0.002217988,0.012592104,7.86E-05,0.000568848,0.000292406,0.000539893,9.14E-05,0.000751079,0.000139992,0.000241221,7.45E-05,0.000285152,0.000673129,0.000209829,0.000206295,8.77E-05,0.000141464,0.00033688,7.86E-05,1.62E-05,6.74E-05,2.91E-05,0.000338539,0.000354603,6.76E-05,3.29E-05,7.99E-05,7.56E-05,0.001025773,0.000303004,0.000178249,0.00044685
Unclassified Spirochaetota,0.003471085,0.002791475,0.000112708,0.002716105,0.000259808,0.000965411,0.002141478,0.003849746,0.00297416,0.004444339,0.001942343,0.001448293,0.002410299,0.002671425,0.000344796,0.004217048,0.000960886,0.001336284,0.003971058,0.004028709,0.000823631,0.002494996,0.001156378,0.001480068,0.000808711,0.002872011,0.004055317,8.65E-05,0.001430738,0.000193098,0.006009249,0.000350359,0.002218302,1.75E-05,0.000163112,0.000260708,0.001083578,0.002692515,0.000209829,0.000550121,0.00031324,0.000632427,0.0004211,0.000569929,0.000906452,8.98E-05,7.55E-05,0.004577636,0.00061589,0.00015368,7.23E-05,0.000334642,0.000453446,0.001859213,0.000562722,0.000690715,0.00791917
