genus,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,IT13,IT14,IT15,IT16,IT17,IT18,IT19,IT20,IT21,IT22,IT23,IT24,IT25,IT26,IT27,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30
Wocania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97E-06,0,0.00019783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euhalothece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000204857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Calditrichota,0,0,0,0,0,0,0,0,0,0,0,3.08E-05,2.74E-05,1.04E-05,0,5.00E-06,0,0,0,0,0,2.82E-05,0,0,0,0,0,0,0,0,9.39E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99E-06,0,0,0,0,0
Caenibius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000206203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Hyellaceae,0,0,0,0,0,0,0,1.91E-05,2.73E-05,0,2.56E-05,0,0,0,0,0,0,8.35E-05,0,0,0,0,0,0,0,0,0,0,1.72E-05,5.52E-06,1.17E-05,0,0,1.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Kordiimonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000170614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69E-05,0,0,0,0,0,0,0
Anaerohalosphaera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017499,0,0,0,0,0,0,0,0,0,2.95E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Methylobacteriaceae,0,0,0,0,0,0,0,3.81E-05,0,0,0,0,0,0,3.57E-05,2.50E-05,0,0,0,3.39E-05,3.74E-05,0,0,0,0,0,1.37E-05,0,0,0,0,0,0,0,0,0,0,2.69E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Aurantimonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43E-05,9.49E-05,0,4.18E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Pyrinomonadaceae,0,8.15E-05,0,0,0,0,0,0,0,0,0,0,0,0,5.65E-05,2.50E-05,0,0,4.87E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amylibacter,0,0,0,0,0,0,0,0,2.73E-05,0,0,0,0,3.13E-05,5.94E-06,6.50E-05,0,0,0,0,0,7.05E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69E-05,0,0,0,0,0,0,0,0,0,0,3.73E-05,1.23E-05,0,0,0,0,0,0,0
Draconibacterium,0,4.08E-05,0,0,0,0,0,0,0,0,0,0,0,2.09E-05,0,5.00E-06,0,0,0,3.39E-05,0,0,0,0,0,0,0,0,0,2.21E-05,2.35E-05,7.62E-06,0,3.50E-05,9.19E-06,0,0,0,0,0,6.26E-06,0,0,9.83E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
Rheinheimera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05E-06,0,0,0,0,0,0,0,0,4.69E-05,0,6.99E-05,0,0,0,0,0,0,0,0,0,0,9.83E-06,0,0,7.94E-06,0,0,1.23E-05,0,0,2.16E-05,0,4.33E-05,0,0
Unclassified Sphingobacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000219261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aureitalea,0,0,0,0,0,0.000220665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Neptunochlamydia,0,0,0,0,0,0.000220665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pareuzebyella,0,0,0,0,0,0.000220665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Polyangiaceae,0,0,0,0,0,0.000220665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloroflexus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87E-05,0,0,0,0,0,0,0,0,0,0,0,9.39E-05,0,0,0,0,0,0,0,0,0,0,8.32E-06,0,0,0,0,0,0,0,0,0,0,2.16E-05,0,0,0,4.96E-05
Unclassified Abditibacteriota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00022238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sneathiellales bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10E-05,2.35E-05,0,3.49E-05,0,0,1.06E-05,5.70E-05,0,0,0,1.25E-05,0,0,9.83E-06,0,0,0,0,0,0,0,2.00E-05,4.32E-05,0,0,0,0
Unclassified Acanthopleuribacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000222928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000224627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Pleurocapsales,0,0,0.000225416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychroserpens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03E-05,0,0,0,0.000146174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Candidatus Riflebacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000194899,0,0,0,0,0,0,0,0,0,0,5.52E-06,0,0,0,0,2.07E-05,0,0,0,0,0,0,0,0,0,0,0,1.32E-06,0,0,0,0,4.99E-06,0,0,0,0,0
Unclassified Legionellales,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000229576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidota bacterium (no genus in NCBI),0,0,0,0,0,0,0,9.53E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000137468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Opitutales,0,2.04E-05,0,0,0,0,0,0,0,0,0,9.24E-05,0,0,0,3.00E-05,0,0,0,6.77E-05,0,0,0,0,0,2.84E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Neisseriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52E-05,0,0,2.99E-05,1.06E-05,0,0,2.33E-05,1.72E-05,0,0,0,0,2.92E-05,1.22E-05,2.38E-05,0,0,0,5.59E-05,0,0,0,0,2.23E-05,0
Candidatus Amoebophilus,0,0,0,0,0,0,7.02E-05,0,0,0,0,0,2.74E-05,0,0.000142674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Myxococcia,0,0,0,0,0,0.000110333,0,0,0,0,0,0,0,0,5.05E-05,4.50E-05,0,0,0,0,0,3.52E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Candidatus Hydrogenedentota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000243623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Acanthopleuribacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000243735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiorhodovibrio,0,4.08E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000205094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Geminicoccaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000136729,0,0,0,9.74E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59E-06,0,0,0,0,0,0,8.32E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Mycobacteriaceae,0,0,2.82E-05,0,0,0,0,0.000190581,0,0,0,0,0,0,2.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neisseria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000250592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defluviicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92E-06,0,0,4.18E-05,2.44E-05,0,0,0,0,0,0,0,0.000164962,0,0,1.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Cardinium,0,0,0,0,0,0,0,0,0,0,0,0,0.000219118,0,3.27E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Candidatus Wolfebacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.62E-05,0,0,0,0.000170536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Parvularculaceae,0,0,0,0,0,0,3.51E-05,0,0,0,5.11E-05,0,0,0,0,0,0,4.18E-05,0,0,0,0,0,3.29E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08E-05,0,8.66E-05,0,0
Alcanivorax,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,1.37E-05,2.62E-05,3.45E-05,0,0,0,0,7.00E-05,0,0,0,0,0,0,0,1.66E-05,5.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Pasteurellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000260881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Lentisphaerales,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000260881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemmatimonadaceae bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salinivirgaceae bacterium (no genus in NCBI),0,4.08E-05,0,0,0,0.000220665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodobium,6.55E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000149895,0,0,0,0,0,0,0,3.29E-05,0,0,1.37E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planctobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15E-05,0,0,0,0,0,8.91E-05,0
Poseidonibacter,0,0,0,0,3.71E-05,0,0,0,0,0,7.67E-05,0,0,0.000125223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Anaerohalosphaeraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24E-06,0,0,0,0,0,0.000262486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Brocadia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000267985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Idiomarinaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000166964,0,0,0,0,0,0.000101564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnetospirillum,0,0,0,0,0,2.76E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49E-05,0,0,0,0,0.000170614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Xanthobacteraceae,0,0,0,2.49E-05,0,0,0,0,0,0,0,0,5.48E-05,0,3.57E-05,0,0,0,2.44E-05,0,0,0,0.000133428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Tectomicrobia bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000274937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Hyphomonadales,0,0,0,0,0,0.000275832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maricaulaceae bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,3.08E-05,0.000246508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Kiritimatiellota,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000208705,0,0,0,0,0,0,0,7.05E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flagellimonas,0,0,0,0,0,0,0.00028085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salibacter,0,0,0,0,0,0,0.00028085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Tepidisphaeraceae,0,2.04E-05,0,0,0,0,0,0,2.73E-05,0,0,0,0,0,2.38E-05,0,0,0.000167036,0,0,0,2.11E-05,0,0,0,0,1.37E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.32E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curvivirga,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000281752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lentisphaeria bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0.000281752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Sphingomonadaceae,3.27E-05,0,0,0.00014951,0,0,0,3.81E-05,0,0,0,0,0,1.04E-05,2.97E-05,0,0,0,0,0,0,0,0,0,0,0,1.37E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.32E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10E-05,0,1.52E-05,0,0,1.84E-05,2.13E-05,0,0,1.17E-05,0,1.25E-05,0,0,0,1.95E-05,5.10E-05,3.18E-05,0,0,2.46E-05,2.63E-05,2.00E-05,2.16E-05,0,0,0,0
Ulvibacterium,0,0,0,0,0,0,0,0,0,0,0,0.000184888,0,0,0,3.00E-05,5.65E-05,0,0,0,0,1.41E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dehalococcoidia bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000288684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizomicrobium,6.55E-05,0,0,0,0,0,3.51E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000177904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceanispirochaeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,3.45E-05,1.10E-05,4.69E-05,0,0,0,0,0,5.70E-05,0,2.33E-05,0,1.25E-05,0,0,2.95E-05,0,2.25E-05,0,0,0,1.23E-05,0,3.00E-05,0,0,0,0,0
Roseibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000299502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paenibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000229576,0,9.99E-06,0,0,0,6.77E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavimaricola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000311333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Candidatus Polarisedimenticolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000311936,0
Paracoccaceae bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000189867,0,0,0,0,0,0,0,0,0,0,0.000123722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cellvibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101564,0,0,0,0,0,2.84E-05,1.37E-05,5.24E-06,3.45E-05,0,0,0,5.24E-05,0,0,0,0,0,2.33E-05,0,2.51E-05,0,0,4.91E-06,0,0,0,0,0,1.84E-05,0,9.99E-06,0,0,0,0,0
Thiolapillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000146094,0,0,0,0,0,0,0,0,0,0,0.000173295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sedimentisphaera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24E-06,0,0,0,0,0,0.000314983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasteurella,0,0,0,0,0,0,0,3.81E-05,0,0,0.000102229,0,0,0,2.97E-06,0,0,0.000167036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08E-05,0,0,0,0
Notoacmeibacter,0,0,0,0,0,0,0,0,2.73E-05,0,0,0,0,0,1.78E-05,5.50E-05,0,0,9.74E-05,6.77E-05,0,0,0,0,0,5.69E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Desulfosarcinaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78E-05,0,0,0,0,0,0.000299502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.32E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tissierellales bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,5.48E-05,0.000271317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Candidatus Dadabacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68E-05,0,0,0,0,0,0,4.23E-05,0,0,0,0,0.00026119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Holophagales,0,4.08E-05,0,0,0,5.52E-05,0,0,0,0,0,0,0,2.09E-05,2.38E-05,6.50E-05,0,0,9.74E-05,0,0,0,0,0,0,2.84E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceanobacter,0,2.04E-05,0,0,0,0,0,0,0,0,0,6.16E-05,0,0,0,0,5.65E-05,0,0,0,0,0,0,6.58E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44E-05,1.25E-05,0,0,0,1.62E-06,0,0,0,0,0,0,9.99E-06,0,0,0,4.46E-05,2.48E-05
Candidatus Rhabdochlamydia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000333571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Micrococcales,0,0,0,0,0,0,3.51E-05,1.91E-05,5.46E-05,0,0,0,0,2.09E-05,1.19E-05,5.00E-06,2.83E-05,0,0,0,0,4.93E-05,0,6.58E-05,0,0,1.37E-05,5.24E-06,0,1.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08E-06,0,0,0,0,0,9.99E-06,0,0,0,0,0
Desulfogranum,0,0,0,0,0,0.000193082,0,0,0,0,0,0,0,0,0,0,0,8.35E-05,0,0,0,0,0,0,0,2.84E-05,0,0,3.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eudoraea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50E-05,0,0,0.00031671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillota bacterium (no genus in NCBI),0,0,0,0,0,5.52E-05,0,0,0,0,0,0,0,0.000292187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavivirga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000341072,0,0,0,0,0,0,0,0,0,0,1.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Caulobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78E-05,0,0,0,0.000341072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Simkaniaceae,0,0,0,0,0,0.000165499,0,0,0,0,0,6.16E-05,0,0,0,0,0,0,0,0,0,0,0.000133428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Nitrobacteraceae,0,0,0,0.000199347,0,0,0,0,0,0,0,0,0,0,7.73E-05,3.50E-05,0,0,0,0,0,0,4.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.83E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Woeseiales,6.55E-05,0,0,0,0,0,0,0,0,0,5.11E-05,0,0,0,0,3.00E-05,0,0,0,0,0.000149751,0,0,0,0,0,5.50E-05,0,0,0,0,0,0,0,4.59E-06,0,0,0,0,0,0,0,0,0,0,0,0,1.47E-05,0,0,0,0,0,0,0,0,0
