"Habitat","n","mean","sd","mean +/- SD","median","Q1","Q3","min","max","range (min-max)","Wilcoxon_p","effect_size_r"
"Intertidal",264,2.61772727272727,1.08044427625041,"2.62 +/- 1.08",2.51,1.74,3.35,0.59,5.81,"0.6 - 5.8",7.11e-64,0.734
"Subtidal",264,1.01969696969697,0.435715293016816,"1.02 +/- 0.44",0.97,0.71,1.2225,0.29,3.22,"0.3 - 3.2",7.11e-64,0.734
