genus,IT1,IT9,IT10,IT11,IT12,IT13,IT14,IT15,IT16,IT17,IT18,IT-C1,IT-H1,IT2,IT19,IT20,IT21,IT22,IT23,IT24,IT25,IT26,IT27,IT-C2,IT-H2,IT3,IT-C3,IT-H3,IT-C4,IT-H4,IT4,IT-C5,IT-H5,IT5,IT-C6,IT-H6,IT6,IT7,IT8,ST1,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST-C1,ST-H1,ST2,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST-C2,ST-H2,ST3,ST30,ST-C3,ST-H3,ST4,ST-C4,ST-H4,ST5,ST-C5,ST-H5,ST6,ST-C6,ST-H6,ST7,ST8,ST9
Pseudanabaenales cyanobacterium (no genus in NCBI),0,1,0,2,1,8,3,0,1,0,3,0,3,2,1,0,0,4,4,0,1,0,3,0,0,0,2,0,5,0,3,6,4,1,0,2,0,2,0,1,0,6,51,0,5,4,16,0,5,0,6,3,12,0,20,6,0,2,0,12,0,14,6,0,0,0,0,0,0,19,0,0,0,2,12,0,4,9,0,10,6
Pseudoalteromonas,1,1,0,0,0,5,5,3,2,4,5,0,0,0,3,64,21,8,2,3,0,12,2,0,0,1,0,0,17,0,2,44,17,4,5,0,1,11,1,14,2,7,3,2,8,12,0,5,2,1,46,20,23,7,4,6,3,14,17,6,12,0,8,0,2,11,0,174,2,1,10,4,0,21,35,3,0,20,3,4,0
Pseudobacteriovorax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudodesulfovibrio,8,8,6,0,4,21,11,16,16,12,29,6,27,8,14,8,28,12,19,15,7,17,17,12,8,14,8,18,9,120,15,842,30,6,866,372,10,9,15,0,2,0,5,0,1,1,0,0,0,1,11,1,1,0,0,5,2,0,0,4,4,2,0,0,0,0,0,186,0,0,2,7,1,7,5,0,0,6,0,2,1
Pseudolabrys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomaricurvus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonadales bacterium (no genus in NCBI),2,5,1,0,0,15,2,1,0,0,2,0,2,2,2,4,0,8,0,1,11,0,2,0,0,18,1,0,0,0,6,2,4,0,2,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,2,0,0,5,0,0,9,4,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0
Pseudomonadota bacterium (no genus in NCBI),57,37,34,172,49,93,90,112,135,58,65,45,44,55,74,259,136,1097,65,84,88,132,67,74,46,6165,51,53,62,68,103,66,90,93,139,58,84,176,533,11,45,58,13,33,107,8,59,20,7,41,37,33,22,12,26,103,16,51,52,62,80,58,33,0,27,23,51,44,16,45,12,41,79,57,45,27,12,2,15,22,6
Pseudomonas,3,10,11,20,23,9,20,14,23,8,18,0,0,22,20,24,38,6,0,4,0,10,2,0,0,17,0,0,0,1,14,39,2,7,0,0,17,10,2,18,2,32,4,11,1,0,49,34,0,0,33,29,24,2,25,15,5,4,84,71,150,0,2,0,94,25,48,100,1,41,1,10,11,23,38,1,0,2,0,1,2
Pseudovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,19,4,0,0,0,0,0,0,2,0,0,0,34,29,22,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Psychrobacter,0,2,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,8,0,0,0,0,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Psychroflexus,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychromonas,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychroserpens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychrosphaera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
