genus,IT1,IT9,IT10,IT11,IT12,IT13,IT14,IT15,IT16,IT17,IT18,IT-C1,IT-H1,IT2,IT19,IT20,IT21,IT22,IT23,IT24,IT25,IT26,IT27,IT-C2,IT-H2,IT3,IT-C3,IT-H3,IT-C4,IT-H4,IT4,IT-C5,IT-H5,IT5,IT-C6,IT-H6,IT6,IT7,IT8,ST1,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST-C1,ST-H1,ST2,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST-C2,ST-H2,ST3,ST30,ST-C3,ST-H3,ST4,ST-C4,ST-H4,ST5,ST-C5,ST-H5,ST6,ST-C6,ST-H6,ST7,ST8,ST9
[Chlorobium] sp. (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthopleuribacter,0,2,4,3,4,1,4,5,3,4,1,0,2,4,8,0,134,6,8,1,10,3,4,0,1,1,2,0,0,2,0,2,4,2,0,6,2,2,0,0,2,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Acaryochloris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achromatium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
Achromobacter,1,5,0,16,3,12,9,10,4,6,14,4,17,13,6,4,6,4,6,14,4,7,9,3,1,19,3,6,5,2,10,27,13,2,6,12,3,13,6,0,8,6,6,1,12,4,5,6,0,2,29,11,6,1,7,0,6,8,4,7,16,4,4,0,0,1,2,2,4,5,2,5,7,10,35,3,5,3,1,2,5
Acidaminobacter,0,5,0,3,1,14,0,9,2,0,15,0,8,0,2,41,5,3,1,7,1,2,0,1,3,2,0,3,4,34,7,510,27,6,40,31,1,3,0,0,2,0,9,5,4,9,2,2,2,2,86,16,0,2,8,4,1,2,9,7,6,2,3,3,90,0,2,1159,8,8,14,0,2,34,288,2,0,38,2,1,2
Acidimicrobiaceae bacterium (no genus in NCBI),1,1,7,5,0,1,49,8,3,18,11,0,0,3,12,49,60,21,2,7,15,3,2,2,3,4,0,1,2,1,11,7,1,1,0,4,3,10,2212,5,0,1,0,0,0,0,2,0,0,3,0,0,0,3,0,13,0,0,1,0,0,8,0,0,0,1,0,0,0,2,0,0,0,5,3,0,0,0,0,0,0
Acidimicrobiia bacterium (no genus in NCBI),0,0,4,0,1,5,5,0,0,0,0,0,0,0,0,0,8,2,0,2,0,1,2,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,36,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Acidobacteriota bacterium (no genus in NCBI),15,17,10,10,8,26,8,7,7,7,21,0,14,14,21,87,474,203,11,29,12,1,7,6,6,14,4,8,8,8,19,18,15,9,4,4,20,26,408,98,41,260,303,39,134,52,365,261,155,27,29,8,38,30,304,20,3,12,146,312,453,433,37,8,2,103,139,0,8,303,18,9,215,22,5,4,10,1,14,26,164
Acinetobacter,3,5,10,5,8,4,6,6,7,4,83,0,0,11,311,6,0,68,0,80,1,78,106,0,2,14,0,0,0,3,4,0,3,4,1,3,2,2,6,5,0,6,0,0,0,2,2,0,0,2,35,12,2,0,27,10,2,4,14,0,8,8,0,3,0,6,14,43,2,2,0,0,0,11,4,0,1,1,1,0,0
Actibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,5,14,0,0,0,0,0,0
Adonisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeoliella,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Aequorivita,5,4,4,6,2,4,5,4,8,2,7,6,4,3,7,11,13,7,6,2,5,7,0,4,4,9,6,6,2,6,5,7,5,6,6,6,6,4,2,0,0,0,4,0,11,1,1,0,0,0,2,0,0,0,0,2,0,4,2,1,3,0,0,4,1,0,1,49,1,2,12,0,0,1,0,0,0,0,4,0,2
Aeromonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,10,2,14,0,0,19,15,2,1,2,2,2,2,8,4,0,2,57,30,74,0,0,0,0,10,42,53,0,30,4,2,9,0,34,0,6,0,0,0,0
Aerosakkonema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aestuariibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aestuariibaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
Aestuariicella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
Aestuariispira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aestuariivirga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aestuariivivens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agarilytica,4,0,0,0,0,2,2,1,1,2,6,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,9,0,0,0,0,2,2,13,0,0,3,0,5,2,0,0,0,2,0,3,2,0,0,2,1,36,1,0,0,2,0,2,0,0,0,13,7,0,0,0,0,3,5,0,0,0,0,0,7
Ahrensia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albidovulum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcanivorax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,10,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0
Algibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
Algihabitans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algoriphagus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,2,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,28,0,0,0
Aliarcobacter,4,2,0,1,2,6,0,2,1,0,3,2,8,0,2,4,5,0,0,1,0,3,0,0,0,1,1,0,0,3,0,10,9,0,124,21,0,1,0,20,3,0,5,2,29,19,0,4,0,17,14,6,20,26,4,20,2,21,5,0,6,4,16,6,278,2,4,1264,47,3,3,1,2,16,3,8,0,0,17,4,2
Aliidongia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
Aliiglaciecola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Aliikangiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
Aliiruegeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aliivibrio,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,6,4,0,0,0,4,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,4,0,0,5,0,0,0
Alkalicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Allomuricauda,74,1679,15,34,15,88,35,39,43,85,55,25,21,243,38,88,469,854,43,75,63,32,31,41,12,57,13,34,27,17,61,57,117,25,30,33,22,99,25,2,5,12,22,10,17,17,2,4,2,8,48,7,4,9,6,3,8,7,18,7,22,14,6,5,0,2,0,0,2,12,3,5,5,63,68,2,11,5,3,9,2
Alphaproteobacteria bacterium (no genus in NCBI),0,2,2,1,2,10,5,16,6,4,6,1,0,7,2,35,22,2,1,15,0,0,2,1,0,155,1,0,3,0,21,17,38,3,15,4,0,10,724,3,4,3,12,3,19,4,7,4,5,0,51,29,0,5,7,5,4,2,7,12,23,7,7,2,0,1,0,47,10,6,4,3,3,68,82,0,4,10,0,4,3
Alteromonas,2,4,0,0,0,4,6,6,0,0,16,2,65,1,1,11,4,4,2,5,4,6,1,0,0,2,1,5,68,2,3,7,21,2,7,2,1,3,2,0,0,0,1,0,2,0,0,0,0,0,1,41,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,6,0,0,0,16,0,6,17,0,0,0,0,0,0
Altibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amoebophilaceae bacterium (no genus in NCBI),0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphritea,114,201,9,50,12,4,34,231,89,134,79,4,17,64,92,109,29,87,39,16,106,90,16,152,92,174,307,11,14,280,58,36,57,17,22,10,185,45,3,626,11,5,738,95,24,5,4,4,235,24,70,131,17,419,3,438,95,13,756,368,22,886,325,225,159,2,88,62,51,2,4,0,125,100,122,19,236,114,551,779,471
Amylibacter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerohalosphaera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,212,5,0,0,0,0,0,0,0,0,0,0,0,0
Anaeromicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerophaga,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0
Anaplasma,0,0,14,4,0,2,0,0,0,2,0,1,0,2,0,0,2,3,0,0,2,4,0,2,0,4,0,0,0,0,2,4,0,2,0,8,2,0,2,0,2,0,0,4,0,2,2,0,2,0,0,0,0,2,14,0,0,0,2,2,4,0,2,2,0,0,2,0,0,2,1,0,2,0,1,2,0,6,0,2,1
Ancylomarina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,4,0,0,0,0,4,0,16,0,0,28,23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,1472,0,0,10,0,0,0,53,0,0,2,0,0,2
Antrihabitans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquamicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquimarina,0,10,0,0,0,2,0,0,2,0,18,0,0,0,1,2,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,6,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0
Arcobacter,0,2,0,0,0,0,0,0,1,0,0,0,5,0,0,59,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,12,0,0,285,27,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,2,0,2,164,0,0,2005,2,0,10,0,0,4,5,0,0,1,0,0,0
Arcobacteraceae bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Aureicoccus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,6,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0
Aureimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aureisphaera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aureitalea,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azoarcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,8,0,0,0,0,0,0,0,0,0,0,0,0
Azohydromonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0
Azospirillum,0,4,0,1,0,5,4,7,2,1,1,0,0,0,2,8,846,31,7,1,13,15,2,0,2,1,0,0,0,0,9,0,0,0,0,11,0,3,13,1,0,0,0,2,0,11,0,0,0,2,0,0,0,0,0,3,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillota bacterium (no genus in NCBI),0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2,0,0,0,0,0,3,0,0,0,0,0,0
Bacillus,0,0,0,0,0,0,8,0,0,0,38,12,5,0,140,0,0,24,0,38,0,38,57,34,14,0,22,24,24,3,0,25,2,0,26,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,0,18,0,0,0,0,0,0,2,0,1,2,0,0,82,22,0,2,25,0,22,16,0,0,2,0,0,0
Bacterioplanoides,0,3,0,0,1,7,2,2,3,4,9,0,2,3,0,7,4,0,4,6,0,2,0,2,2,1,5,1,0,4,2,48,30,2,33,1,3,3,0,2,0,7,9,2,4,2,0,6,2,0,28,6,0,0,11,2,4,0,9,4,17,0,0,0,1,4,0,177,1,6,2,0,4,11,36,4,7,6,2,2,5
bacterium SCSIO (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidales bacterium (no genus in NCBI),0,0,0,0,0,1,0,5,2,0,5,0,0,2,0,8,0,1,0,3,4,0,2,1,0,0,0,0,0,1,2,15,27,0,45,0,0,2,1,0,0,2,0,0,2,0,0,2,0,2,16,1,0,0,0,2,1,0,1,0,0,0,2,1,18,2,0,758,0,0,0,0,0,3,12,0,0,30,0,0,0
Bacteroides,4,10,4,2,1,8,2,6,4,0,16,0,0,4,0,5,5,9,4,16,11,4,4,5,0,142,2,1,0,2,6,7,37,5,0,3,11,7,3,1,6,27,4,4,8,12,2,7,2,9,49,8,5,4,6,0,0,4,0,16,6,2,5,2,4,22,4,257,2,4,0,7,16,52,36,5,3,2,6,7,0
Bacteroidia bacterium (no genus in NCBI),0,0,4,0,2,0,0,0,2,0,2,0,0,2,0,2,4,4,2,0,3,4,2,4,4,6,0,0,0,0,1,0,0,2,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidota bacterium (no genus in NCBI),0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0
Bauldia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bdellovibrionales bacterium (no genus in NCBI),0,1,0,0,0,5,1,0,2,0,12,0,3,2,1,0,2,0,0,1,0,0,0,0,0,2,1,1,0,0,2,2,1,0,1,0,0,0,0,1,0,0,2,1,0,2,0,0,0,0,7,14,0,2,2,2,0,0,1,0,2,0,0,0,0,0,0,0,4,10,2,0,0,2,1,0,0,0,0,4,0
Bizionia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastochloris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boseongicola,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,80,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachyspira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradyrhizobium,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35,22,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breoghania,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,35,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,5,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,4,0,15,33,0,0,2
Brevibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,44,0,0,0,0,0,0,2,0,0,0,0,0,0
Brucellaceae bacterium (no genus in NCBI),0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,3,126,0,1,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
