"Panel",".y.","group1","group2","n1.x","n2.x","statistic","p","p.signif","y.position","groups","effsize","n1.y","n2.y","magnitude"
"Fig.3C (Taxonomic)","Stability_distance","Intertidal","Subtidal",12,12,11,0.000144,"***",0.60832,"Intertidal vs Subtidal",0.718891894206323,12,12,"large"
"Fig.3D (Functional)","Stability_distance","Intertidal","Subtidal",12,12,52,0.266,"ns",0.46076,"Intertidal vs Subtidal",0.235702260395516,12,12,"small"
