"KO","logFC","logCPM","F","PValue","FDR","direction","paths"
"K08692",3.87180003932357,4.36864735304737,34.490328933436,9.99797776704143e-08,9.4436027177792e-07,"Intertidal-enriched","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism"
"K12369",3.54932382993189,4.2498353657728,34.4448241768579,1.01612120212711e-07,9.5671219893565e-07,"Intertidal-enriched","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"K15233",4.32763292688349,4.74067997765345,34.3439710049009,1.05328200679978e-07,9.88542061795845e-07,"Intertidal-enriched","Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes"
"K00795",3.65735655844069,4.32472848654259,34.2520700731846,1.08835950450032e-07,1.01822078087697e-06,"Intertidal-enriched","Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis | Brite Hierarchies; Protein families: metabolism; Prenyltransferases"
"K03166",2.82975890032162,3.94659884819497,34.1293298560383,1.13708830325218e-07,1.05709754879627e-06,"Intertidal-enriched","Brite Hierarchies; Protein families: genetic information processing; DNA replication proteins"
"K11710",4.17891667832457,4.59637288275247,34.1305490407427,1.13659341744325e-07,1.05709754879627e-06,"Intertidal-enriched","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"K07303",4.31413533470534,5.42110640089966,33.7304344792707,1.3115046097039e-07,1.21160002658225e-06,"Intertidal-enriched","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"K07679",4.30460828673003,5.17396928469895,33.7326762607887,1.31045118952056e-07,1.21160002658225e-06,"Intertidal-enriched","Environmental Information Processing; Signal transduction; Two-component system | Human Diseases; Infectious diseases: Bacterial; Pertussis | Brite Hierarchies; Protein families: metabolism; Protein kinases | Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system"
"K07516",4.40378331851331,4.81147971760835,33.6776040825004,1.33658316530007e-07,1.23090955879353e-06,"Intertidal-enriched","Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Xenobiotics biodegradation and metabolism; Benzoate degradation"
"K00008",4.0454651461581,4.86994937629178,33.605948127487,1.37138759326601e-07,1.25902779979905e-06,"Intertidal-enriched","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism"
"K07659",3.67185250414025,4.28006958175277,33.5326554422751,1.40795090659472e-07,1.28858115581821e-06,"Intertidal-enriched","Environmental Information Processing; Signal transduction; Two-component system | Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Escherichia coli | Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system"
"K10440",4.06854625777118,5.56411462926903,33.2516371561576,1.55767816730366e-07,1.42120048267613e-06,"Intertidal-enriched","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"K06163",3.6658133640617,4.33229675652886,33.0175733601254,1.69483185644207e-07,1.5415646546095e-06,"Intertidal-enriched","Metabolism; Metabolism of other amino acids; Phosphonate and phosphinate metabolism"
"K02567",3.98379685902354,6.34832989492306,32.96809895604,1.72537664128863e-07,1.5552375389772e-06,"Intertidal-enriched","Metabolism; Energy metabolism; Nitrogen metabolism"
"K07236",-4.02495095812641,4.94484487289591,32.9675860968716,1.72569621732455e-07,1.5552375389772e-06,"Subtidal-enriched","""Genetic Information Processing; Folding, sorting and degradation; Sulfur relay system | Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis"""
"K22086",4.14793151992356,5.09828115357575,32.9829273367356,1.7161629273757e-07,1.5552375389772e-06,"Intertidal-enriched","Metabolism; Energy metabolism; Methane metabolism"
"K09461",3.59779009209917,4.20937179443505,32.9138184653157,1.75953986067805e-07,1.58090364921287e-06,"Intertidal-enriched","Metabolism; Xenobiotics biodegradation and metabolism; Aminobenzoate degradation"
"K07302",3.63408181861347,4.33472024012488,32.7985903013538,1.83438488934315e-07,1.64314050726269e-06,"Intertidal-enriched","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"K15922",-3.87533485411588,5.27370475278705,32.6260582067461,1.95261746623126e-07,1.74374656757076e-06,"Subtidal-enriched","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"K17994",3.33363556020385,4.18133529227872,32.566173208954,1.99546214709661e-07,1.77662445543617e-06,"Intertidal-enriched","Metabolism; Energy metabolism; Sulfur metabolism"
